ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_usd_b,beta,pe_ratio,avg_volume_m,vol_1d,vol_1w,vol_1m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
SNDK,SanDisk Corporation,AI,memory,NASDAQ,1484.95,-4.51%,-7.23%,+35.48%,+439.51%,+2730%,217.425,,20.13,13.77,8799100,48408900,363893500,,8.24,buy,1.54,-4.51,95.49,-4.51,954.9,-45.1,9549.0,-451.0,-7.23,92.77,-7.23,927.7,-72.3,9277.0,-723.0,35.48,135.48,35.48,1354.8,354.8,13548.0,3548.0,439.51,539.51,439.51,5395.1,4395.1,53951.0,43951.0,2730.0,2830.0,2730.0,28300.0,27300.0,283000.0,273000.0,"After Surging 3,110%, Has Sandisk Already Had Its ""Nvidia Moment""?",Motley Fool,2026-08-28,0.0,The Peer-Group Mispricing Sitting On SNDK Stock,Trefis,2026-08-28,0.0,AI Bubble Could Be Ready to Pop and Jim Cramer May Be the Warning Sign,Benzinga,2026-08-27,0.026,1,strong_buy,1.0,"YTD +437.99%, P/E 20.24, analyst buy, news sentiment 0.295. Web search reveals Morgan Stanley maintains Buy on AI SSD demand and Seeking Alpha upgrades to Strong Buy, citing long-term contracts and a pullback from highs as a buying opportunity.",YTD +437.99%; P/E 20.24; Positive news sentiment 0.295; Analyst upgrades on AI storage,,,,,
WDC,Western Digital,AI,memory,NASDAQ,462.0,-4.64%,-1.50%,-0.33%,+146.32%,+475%,166.57,2.217,17.17,8.58,7601300,29611000,189837600,13.0,6.31,buy,1.54,-4.64,95.36,-4.64,953.6,-46.4,9536.0,-464.0,-1.5,98.5,-1.5,985.0,-15.0,9850.0,-150.0,-0.33,99.67,-0.33,996.7,-3.3,9967.0,-33.0,146.32,246.32,146.32,2463.2,1463.2,24632.0,14632.0,475.0,575.0,475.0,5750.0,4750.0,57500.0,47500.0,"After Surging 3,110%, Has Sandisk Already Had Its ""Nvidia Moment""?",Motley Fool,2026-08-28,0.0,The Peer-Group Mispricing Sitting On SNDK Stock,Trefis,2026-08-28,0.0,AI Bubble Could Be Ready to Pop and Jim Cramer May Be the Warning Sign,Benzinga,2026-08-27,0.026,,,,,,,,,,
285A,Kioxia Holdings,AI,memory,TSE,309.96,-5.70%,-9.00%,+10.95%,+335.51%,+1922%,169.626,,49.04,42.63,20069200,142963400,1013964700,,,buy,1.56,-5.7,94.3,-5.7,943.0,-57.0,9430.0,-570.0,-9.0,91.0,-9.0,910.0,-90.0,9100.0,-900.0,10.95,110.95,10.95,1109.5,109.5,11095.0,1095.0,335.51,435.51,335.51,4355.1,3355.1,43551.0,33551.0,1922.0,2022.0,1922.0,20220.0,19220.0,202200.0,192200.0,"Nvidia, Micron, Salesforce, Marvell, Veeva, Okta, Hormel, and More Stocks That Explain Today’s Market",Barrons.com,2026-08-27,0.0,Stock Indices Settle Higher as Nvidia Earnings Spur a Tech Stock Rally,Barchart,2026-08-27,0.0,Stocks Supported by Strong Tech Earnings,Barchart,2026-08-27,0.681,,,,,,,,,,
MU,Micron Technology,AI,memory,NASDAQ,935.39,-3.96%,-4.00%,+14.00%,+196.72%,+686%,,2.213,21.16,45.96,28691600,118412500,833568500,6.0,2.66,strong_buy,1.36,-3.96,96.04,-3.96,960.4,-39.6,9604.0,-396.0,-4.0,96.0,-4.0,960.0,-40.0,9600.0,-400.0,14.0,114.0,14.0,1140.0,140.0,11400.0,1400.0,196.72,296.72,196.72,2967.2,1967.2,29672.0,19672.0,686.0,786.0,686.0,7860.0,6860.0,78600.0,68600.0,Why Nvidia probably just lit a new fire under these once-hot trades,Yahoo Finance,2026-08-27,-0.34,"Amkor, FormFactor, Vishay Intertechnology, Allegro MicroSystems, and Intel Shares Skyrocket, What You Need To Know",StockStory,2026-08-28,0.296,"Impinj and Broadcom Shares Skyrocket, What You Need To Know",StockStory,2026-08-28,0.296,,,,,,,,,,
STX,Seagate Technology,AI,memory,NASDAQ,847.2,-3.18%,-0.36%,+13.37%,+195.36%,+406%,192.014,2.102,61.04,4.78,4895300,15628700,113451700,35.0,4.12,strong_buy,1.44,-3.18,96.82,-3.18,968.2,-31.8,9682.0,-318.0,-0.36,99.64,-0.36,996.4,-3.6,9964.0,-36.0,13.37,113.37,13.37,1133.7,133.7,11337.0,1337.0,195.36,295.36,195.36,2953.6,1953.6,29536.0,19536.0,406.0,506.0,406.0,5060.0,4060.0,50600.0,40600.0,The Peer-Group Mispricing Sitting On SNDK Stock,Trefis,2026-08-28,0.0,AI Bubble Could Be Ready to Pop and Jim Cramer May Be the Warning Sign,Benzinga,2026-08-27,0.026,Seagate (STX) Up 10.7% Since Last Earnings Report: Can It Continue?,Zacks,2026-08-27,0.0,,,,,,,,,,
MRVL,Marvell Technology,AI,memory,NASDAQ,241.45,-5.64%,-3.81%,+38.39%,+170.50%,+284%,216.992,2.246,82.69,39.99,39578100,122350100,557703900,10.0,3.79,strong_buy,1.43,-5.64,94.36,-5.64,943.6,-56.4,9436.0,-564.0,-3.81,96.19,-3.81,961.9,-38.1,9619.0,-381.0,38.39,138.39,38.39,1383.9,383.9,13839.0,3839.0,170.5,270.5,170.5,2705.0,1705.0,27050.0,17050.0,284.0,384.0,284.0,3840.0,2840.0,38400.0,28400.0,Earnings live updates: Marvell stock falls despite strong earnings and guidance,Yahoo Finance,2026-08-25,-0.402,"Jackson Hole Symposium kicks off, Marvell & dollar stores report earnings: What to Watch",Yahoo Finance Video,2026-08-27,0.0,"Amkor, FormFactor, Vishay Intertechnology, Allegro MicroSystems, and Intel Shares Skyrocket, What You Need To Know",StockStory,2026-08-28,0.296,2,strong_buy,0.8,"YTD +169.31%, 1M +27.07%, 1W +11.29%, 1D +5.43%. Strong momentum with strong_buy analyst consensus (score 1.43) and positive news sentiment 0.163.",YTD +169.31%; 1M +27.07%; Strong_buy consensus; Positive news sentiment 0.163,,,,,
P,Everpure,AI,memory,NYSE,99.24,-11.79%,-9.77%,+35.96%,+43.81%,+28%,,1.414,135.95,3.21,7548400,21636800,79709000,,3.73,buy,1.65,-11.79,88.21,-11.79,882.1,-117.9,8821.0,-1179.0,-9.77,90.23,-9.77,902.3,-97.7,9023.0,-977.0,35.96,135.96,35.96,1359.6,359.6,13596.0,3596.0,43.81,143.81,43.81,1438.1,438.1,14381.0,4381.0,28.0,128.0,28.0,1280.0,280.0,12800.0,2800.0,P Q2 Deep Dive: Market Reacts Negatively Despite Strong Revenue Growth and Guidance Upgrade,StockStory,2026-08-28,-0.598,Everpure Stock Slides Despite 'Stellar' Results. What To Know.,Investor's Business Daily,2026-08-27,0.0,Everpure's Q2 Earnings Call Centers on Sustainable Growth,Zacks,2026-08-27,0.382,10,buy,0.6,"YTD +48.98%, 1M +38.54%, 1D +2.66%, news sentiment 0.291, analyst buy (score 1.65). Strong monthly momentum in memory sector, though P/E 151.19 is high.",1M +38.54%; YTD +48.98%; Buy analyst consensus; Positive news sentiment 0.291,,,,,
RR.,Rolls-Royce Holdings,AI,nuclear-ops,LSE,20.79,-0.86%,+2.03%,+8.22%,+27.81%,+44%,1.715,1.19,42.49,24.35,6725325,54737100,529739367,78.0,,buy,1.6,-0.86,99.14,-0.86,991.4,-8.6,9914.0,-86.0,2.03,102.03,2.03,1020.3,20.3,10203.0,203.0,8.22,108.22,8.22,1082.2,82.2,10822.0,822.0,27.81,127.81,27.81,1278.1,278.1,12781.0,2781.0,44.0,144.0,44.0,1440.0,440.0,14400.0,4400.0,NuScale Power Deploys AI to Accelerate Next-Generation Nuclear SMRs,Zacks,2026-08-26,0.0,Florida real estate mogul says your home is ‘a terrible investment’ — and he’d put $100K somewhere else. Is he right?,Moneywise,2026-08-21,-0.477,U.K. ETFs in Spotlight as Andy Burnham Completes First Month as PM,Zacks,2026-08-20,0.0,,,,,,,,,,
CEG,Constellation Energy,AI,nuclear-ops,NASDAQ,282.41,+0.48%,+3.48%,+8.86%,-22.55%,-8%,100.06,1.118,27.61,3.4,1771000,10884400,61014100,61.0,2.97,buy,1.55,0.48,100.48,0.48,1004.8,4.8,10048.0,48.0,3.48,103.48,3.48,1034.8,34.8,10348.0,348.0,8.86,108.86,8.86,1088.6,88.6,10886.0,886.0,-22.55,77.45,-22.55,774.5,-225.5,7745.0,-2255.0,-8.0,92.0,-8.0,920.0,-80.0,9200.0,-800.0,Constellation's New Power Deals Are Piling Up. Here's Why the Stock Isn't Reflecting It Yet.,Motley Fool,2026-08-26,0.0,"CEG Stock Outperforms Industry in the Past Month: Buy, Hold or Sell",Zacks,2026-08-26,0.0,This Utility's Dividend Growth Is Boring by Design. That's Exactly Why I Own It.,Motley Fool,2026-08-26,0.077,,,,,,,,,,
VST,Vistra Corp,AI,nuclear-ops,NYSE,139.81,-2.15%,+0.63%,-5.94%,-15.15%,-26%,46.925,1.433,23.62,4.37,2947400,20701400,108308800,66.0,3.32,strong_buy,1.35,-2.15,97.85,-2.15,978.5,-21.5,9785.0,-215.0,0.63,100.63,0.63,1006.3,6.3,10063.0,63.0,-5.94,94.06,-5.94,940.6,-59.4,9406.0,-594.0,-15.15,84.85,-15.15,848.5,-151.5,8485.0,-1515.0,-26.0,74.0,-26.0,740.0,-260.0,7400.0,-2600.0,Is Vistra (VST) Undervalued As Power Demand Expectations Stay In Focus?,Simply Wall St.,2026-08-27,-0.128,VST Stock Underperforms Industry in the Past 6 Months: Buy or Hold?,Zacks,2026-08-27,0.0,Peter Thiel’s $418 Million Bet On These 8 Companies Reveals AI’s Biggest Bottleneck,24/7 Wall St.,2026-08-24,0.0,,,,,,,,,,
