ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_gbp_b,beta,pe_ratio,avg_volume_m,vol_1d,vol_1w,vol_1m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
SNDK,SanDisk Corporation,AI,memory,NASDAQ,2273.73,+10.28%,+15.79%,+29.08%,+726.09%,+4460%,253.877,,77.55,13.98,11230102,64799702,240676902,,11.5,buy,1.59,10.28,110.28,10.28,1102.8,102.8,11028.0,1028.0,15.79,115.79,15.79,1157.9,157.9,11579.0,1579.0,29.08,129.08,29.08,1290.8,290.8,12908.0,2908.0,726.09,826.09,726.09,8260.9,7260.9,82609.0,72609.0,4460.0,4560.0,4460.0,45600.0,44600.0,456000.0,446000.0,"Update: S&P 500, Nasdaq Composite Close Strongest Quarter in Six Years Amid Gains in Technology, Decline in Crude Oil",MT Newswires,2026-06-30,0.153,"AMD, Sandisk, AeroVironment, Air Products, Strategy, and More Stocks That Explain Today’s Market",Barrons.com,2026-06-30,0.0,Update: Dow Hits Fresh High as Wall Street Posts Solid Quarterly Gains,MT Newswires,2026-06-30,0.649,5,strong_buy,1.0,"SanDisk rides Micron's coattails with a +659.6% YTD, 1M gain of +31.5%, and a buy consensus. It reported Q3 revenue of $5.95B (+251% YoY) and guided Q4 higher, supported by multi-year customer agreements validated by Micron's $100B disclosure. [247wallst.com](https://247wallst.com/investing/2026/06/25/micron-soars-17-sandisk-jumps-15-western-digital-climbs-13-after-blowout-quarter-locks-in-100b-of-ai-memory-demand/)",+660% YTD; +31.5% 1M; revenue +251% YoY; analyst buy,,,,,
WDC,Western Digital,AI,memory,NASDAQ,638.72,-1.85%,-4.78%,+16.97%,+240.54%,+921%,165.993,2.2,38.27,8.42,9212347,67817647,216014847,,8.66,buy,1.52,-1.85,98.15,-1.85,981.5,-18.5,9815.0,-185.0,-4.78,95.22,-4.78,952.2,-47.8,9522.0,-478.0,16.97,116.97,16.97,1169.7,169.7,11697.0,1697.0,240.54,340.54,240.54,3405.4,2405.4,34054.0,24054.0,921.0,1021.0,921.0,10210.0,9210.0,102100.0,92100.0,How Micron Used The AI Boom To Tame Its Oldest Demon,Trefis,2026-06-30,0.0,"Micron Stock Redefined Its Future, But the Market Isn't Convinced Yet",Trefis,2026-06-30,-0.438,1 High-Flying Stock Worth Your Attention and 2 We Question,StockStory,2026-06-30,0.226,9,strong_buy,1.0,"Western Digital is up +212.67% YTD with a P/E of 35.1 and a dividend yield of 10%. It climbed 13% after Micron's earnings, and CEO Irving Tan confirmed strong HDD demand from AI workloads. [247wallst.com](https://247wallst.com/investing/2026/06/25/micron-soars-17-sandisk-jumps-15-western-digital-climbs-13-after-blowout-quarter-locks-in-100b-of-ai-memory-demand/)",+213% YTD; P/E 35.1; 10% dividend yield; AI HDD demand,,,,,
285A,Kioxia Holdings,AI,memory,TSE,89680.0,+1.39%,-2.83%,+23.70%,+690.13%,+3643%,227.677,,88.94,36.5,36393600,204354000,838235500,,,buy,1.62,1.39,101.39,1.39,1013.9,13.9,10139.0,139.0,-2.83,97.17,-2.83,971.7,-28.3,9717.0,-283.0,23.7,123.7,23.7,1237.0,237.0,12370.0,2370.0,690.13,790.13,690.13,7901.3,6901.3,79013.0,69013.0,3643.0,3743.0,3643.0,37430.0,36430.0,374300.0,364300.0,BlueBay Sees Near-Term Risk in Japan AI Stocks Followed by Rally,Bloomberg,2026-06-28,-0.273,Apple Price Hikes Spark Asia Tech Selloff on Memory Cost Concern,Bloomberg,2026-06-26,0.226,Micron Jumps 267% as It Sees Memory Shortages Beyond 2027,GuruFocus.com,2026-06-25,-0.153,6,strong_buy,1.0,"Japan-listed memory stock 285A has surged +674% YTD and +33.4% in the past month. With news sentiment of 0.233 and a buy rating, it benefits from the same AI memory supply tightness, though its P/E of 87.43 is elevated.",+674% YTD; +33.4% 1M; positive news sentiment; AI memory upcycle,,,,,
MU,Micron Technology,AI,memory,NASDAQ,1154.29,+1.37%,+9.75%,+11.47%,+266.11%,+847%,982.924,2.173,26.11,52.01,40238445,338417445,1203150145,,3.69,strong_buy,1.47,1.37,101.37,1.37,1013.7,13.7,10137.0,137.0,9.75,109.75,9.75,1097.5,97.5,10975.0,975.0,11.47,111.47,11.47,1114.7,114.7,11147.0,1147.0,266.11,366.11,266.11,3661.1,2661.1,36611.0,26611.0,847.0,947.0,847.0,9470.0,8470.0,94700.0,84700.0,Were the Mag 7 more like the Lag 7 in Q2 2026?,Yahoo Finance Video,2026-06-30,0.033,"Micron, Intel and AMD add $2 trillion in value in Q2 rally",Investing.com,2026-06-30,0.34,Palo Alto Networks (PANW) Gains Momentum in AI Security and Observability,Insider Monkey,2026-06-30,0.586,1,strong_buy,1.0,"Micron's record FQ3 revenue of $41.5B (+346% YoY), $25.11 EPS beat, and $100B in contracted AI memory revenue with $22B in customer deposits justify analyst strong_buy. Its P/E of 25.58 is the cheapest among memory peers despite +819% 1Y return. [fortune.com](https://fortune.com/2026/06/25/why-did-stock-market-tech-selloff-stop-micron-technology/)",record revenue $41.5B; P/E 25.58; $100B contracted revenue; strong_buy consensus,,,,,
STX,Seagate Technology,AI,memory,NASDAQ,965.0,-0.11%,-7.02%,+4.82%,+236.43%,+568%,164.619,2.083,91.38,4.28,4120343,28627543,95299143,31.0,4.27,buy,1.54,-0.11,99.89,-0.11,998.9,-1.1,9989.0,-11.0,-7.02,92.98,-7.02,929.8,-70.2,9298.0,-702.0,4.82,104.82,4.82,1048.2,48.2,10482.0,482.0,236.43,336.43,236.43,3364.3,2364.3,33643.0,23643.0,568.0,668.0,568.0,6680.0,5680.0,66800.0,56800.0,"Up 250% YTD, Does Seagate Have More Upside Ahead?",24/7 Wall St.,2026-06-30,0.0,Home Prices Increased More Than Expected,Zacks,2026-06-30,0.273,Seagate vs. Micron: Which AI Storage Stock Has More Upside?,Zacks,2026-06-30,0.0,,,,,,,,,,
MRVL,Marvell Technology,AI,memory,NASDAQ,297.89,+7.62%,+6.76%,+35.76%,+233.65%,+264%,196.483,2.277,102.02,42.97,34355492,182969892,1469120392,9.0,5.26,strong_buy,1.45,7.62,107.62,7.62,1076.2,76.2,10762.0,762.0,6.76,106.76,6.76,1067.6,67.6,10676.0,676.0,35.76,135.76,35.76,1357.6,357.6,13576.0,3576.0,233.65,333.65,233.65,3336.5,2336.5,33365.0,23365.0,264.0,364.0,264.0,3640.0,2640.0,36400.0,26400.0,"Dow Jones Futures: Market Extends Rebound, Bloom Energy Soars Late. SpaceX's First Entry?",Investor's Business Daily,2026-06-30,0.382,One Thing I’m Watching: The Great Tech Divergence,The Wall Street Journal,2026-06-30,0.625,Update: Dow Hits Fresh High as Wall Street Posts Solid Quarterly Gains,MT Newswires,2026-06-30,0.649,2,strong_buy,0.994,"Marvell has surged +34.3% over the past month and boasts a strong_buy analyst consensus (score 1.45) with a positive news sentiment of 0.368, benefiting from AI connectivity demand as part of the new 'MANIA' trade replacing the Magnificent 7.",+34% 1M momentum; strong_buy consensus (1.45); positive news sentiment; AI connectivity tailwind,,,,,
P,Everpure,AI,memory,NYSE,78.79,+9.38%,+8.89%,-6.70%,+14.17%,+31%,19.747,1.445,119.38,3.36,3702851,16146651,73201851,,3.95,buy,1.9,9.38,109.38,9.38,1093.8,93.8,10938.0,938.0,8.89,108.89,8.89,1088.9,88.9,10889.0,889.0,-6.7,93.3,-6.7,933.0,-67.0,9330.0,-670.0,14.17,114.17,14.17,1141.7,141.7,11417.0,1417.0,31.0,131.0,31.0,1310.0,310.0,13100.0,3100.0,Everpure Stock Jumps After Report Of New Activist Investor,Investor's Business Daily,2026-06-30,0.0,"Exclusive-Activist Jana Partners has new stake in Everpure, sources",Reuters,2026-06-30,0.0,Everpure's Resilient Liquidity Position Outpaces Its Competitors,Zacks,2026-06-30,0.0,,,,,,,,,,
RR.,Rolls-Royce Holdings,AI,nuclear-ops,LSE,1444.6,+1.73%,+3.84%,+13.50%,+20.69%,+51%,1.197,1.22,20.94,34.24,19997547,140079226,659839731,67.0,,buy,1.6,1.73,101.73,1.73,1017.3,17.3,10173.0,173.0,3.84,103.84,3.84,1038.4,38.4,10384.0,384.0,13.5,113.5,13.5,1135.0,135.0,11350.0,1350.0,20.69,120.69,20.69,1206.9,206.9,12069.0,2069.0,51.0,151.0,51.0,1510.0,510.0,15100.0,5100.0,AirAsia Shares Drop 30% as Carrier Seeks Payment Deferrals,GuruFocus.com,2026-06-24,0.026,Is Heico (HEI) Stock Outpacing Its Aerospace Peers This Year?,Zacks,2026-06-24,0.0,U.K. Nuclear: Scaling Up at Home & Abroad,ETF Trends,2026-06-22,0.0,,,,,,,,,,
CEG,Constellation Energy,AI,nuclear-ops,NASDAQ,248.37,-4.33%,-8.10%,-6.52%,-31.99%,-16%,66.873,1.091,21.58,3.56,5027897,18199997,93297097,66.0,3.56,buy,1.52,-4.33,95.67,-4.33,956.7,-43.3,9567.0,-433.0,-8.1,91.9,-8.1,919.0,-81.0,9190.0,-810.0,-6.52,93.48,-6.52,934.8,-65.2,9348.0,-652.0,-31.99,68.01,-31.99,680.1,-319.9,6801.0,-3199.0,-16.0,84.0,-16.0,840.0,-160.0,8400.0,-1600.0,CEG or DUK: Which Stock Deserves to Be in Your Portfolio Now?,Zacks,2026-06-30,0.0,V&E Appoints Michael Jay as New IP Litigation Partner in LA,CorpGov.com,2026-06-29,-0.202,Walmart (WMT) Secures Long Term Nuclear Power Deal With Constellation Energy,Simply Wall St.,2026-06-29,0.527,,,,,,,,,,
VST,Vistra Corp,AI,nuclear-ops,NYSE,158.63,-2.54%,-2.32%,+2.64%,-3.73%,-12%,40.328,1.405,26.53,4.63,3413486,19071486,91440786,,5.27,strong_buy,1.4,-2.54,97.46,-2.54,974.6,-25.4,9746.0,-254.0,-2.32,97.68,-2.32,976.8,-23.2,9768.0,-232.0,2.64,102.64,2.64,1026.4,26.4,10264.0,264.0,-3.73,96.27,-3.73,962.7,-37.3,9627.0,-373.0,-12.0,88.0,-12.0,880.0,-120.0,8800.0,-1200.0,Nuclear Power Is the Only Real Answer to AI Data Center Demand and These 3 ETFs Cover the Trade at Three Risk Levels,24/7 Wall St.,2026-06-30,-0.382,Vistra (VST) Buys Cogentrix For $4 Billion And Locks In Meta And AWS Deals,Simply Wall St.,2026-06-29,0.0,Vistra or Public Service Enterprise: Which Utility Stock Stands Out?,Zacks,2026-06-29,0.0,,,,,,,,,,
