ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_usd_b,beta,pe_ratio,avg_volume_m,vol_1d,vol_1w,vol_1m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
SNDK,SanDisk Corporation,AI,memory,NASDAQ,1484.98,+1.40%,-6.96%,+46.18%,+439.52%,+2808%,217.43,,20.12,13.85,8104535,48992135,345426035,,8.24,buy,1.54,1.4,101.4,1.4,1014.0,14.0,10140.0,140.0,-6.96,93.04,-6.96,930.4,-69.6,9304.0,-696.0,46.18,146.18,46.18,1461.8,461.8,14618.0,4618.0,439.52,539.52,439.52,5395.2,4395.2,53952.0,43952.0,2808.0,2908.0,2808.0,29080.0,28080.0,290800.0,280800.0,Sandisk’s (SNDK) $31B Japan Bet Raises A Bigger Question,Insider Monkey,2026-08-28,0.0,Sandisk Just Announced a $14 Billion Stock Buyback Authorization: Warren Buffett Has a Warning Investors Shouldn't Ignore,Motley Fool,2026-08-28,-0.075,"Sandisk Stock Could Nearly Double to $3,000, According to Wall Street",Barchart,2026-08-28,0.0,1,strong_buy,1.0,"YTD +448%, P/E 20.44, analyst buy, news sentiment 0.247. Web search confirms $31B Japan investment and Nvidia's $279B memory procurement commitment, implying sustained demand growth.",+448% YTD; P/E 20.44; news sentiment 0.247; $31B Japan investment,,,,,
WDC,Western Digital,AI,memory,NASDAQ,459.45,+0.37%,+0.00%,-0.56%,+144.96%,+464%,165.65,2.217,17.06,8.58,4285805,29571905,183628405,13.0,6.31,buy,1.54,0.37,100.37,0.37,1003.7,3.7,10037.0,37.0,0.0,100.0,0.0,1000.0,0.0,10000.0,0.0,-0.56,99.44,-0.56,994.4,-5.6,9944.0,-56.0,144.96,244.96,144.96,2449.6,1449.6,24496.0,14496.0,464.0,564.0,464.0,5640.0,4640.0,56400.0,46400.0,Western Digital Just Dropped 13% in a Month. Is It Time to Sell?,24/7 Wall St.,2026-08-28,0.0,Marvell’s Earnings Were Strong. Why Optical Networking Stocks Are Falling Anyway,Barrons.com,2026-08-28,0.402,Trump Calls Micron One of the World’s “Hottest” Companies a Day After Nvidia Disclosed $279 Billion in Supplier Commitments,24/7 Wall St.,2026-08-28,0.128,,,,,,,,,,
285A,Kioxia Holdings,AI,memory,TSE,299.45,-8.62%,-11.82%,+7.52%,+322.03%,+1862%,163.87,,47.52,42.63,31954100,154848300,1025849600,,,buy,1.56,-8.62,91.38,-8.62,913.8,-86.2,9138.0,-862.0,-11.82,88.18,-11.82,881.8,-118.2,8818.0,-1182.0,7.52,107.52,7.52,1075.2,75.2,10752.0,752.0,322.03,422.03,322.03,4220.3,3220.3,42203.0,32203.0,1862.0,1962.0,1862.0,19620.0,18620.0,196200.0,186200.0,"Nvidia, Micron, Salesforce, Marvell, Veeva, Okta, Hormel, and More Stocks That Explain Today’s Market",Barrons.com,2026-08-27,0.0,Stock Indices Settle Higher as Nvidia Earnings Spur a Tech Stock Rally,Barchart,2026-08-27,0.0,Stocks Supported by Strong Tech Earnings,Barchart,2026-08-27,0.681,,,,,,,,,,
MU,Micron Technology,AI,memory,NASDAQ,932.86,+1.43%,-3.51%,+26.23%,+195.92%,+689%,1053.565,2.213,21.09,45.73,22761175,119497175,795437275,6.0,2.66,strong_buy,1.36,1.43,101.43,1.43,1014.3,14.3,10143.0,143.0,-3.51,96.49,-3.51,964.9,-35.1,9649.0,-351.0,26.23,126.23,26.23,1262.3,262.3,12623.0,2623.0,195.92,295.92,195.92,2959.2,1959.2,29592.0,19592.0,689.0,789.0,689.0,7890.0,6890.0,78900.0,68900.0,Nvidia Quietly Became Its Own Market Category,GuruFocus.com,2026-08-28,0.0,"Prediction: This Is What a $1,000 Investment in Micron Stock Will Be Worth by 2030",Motley Fool,2026-08-28,0.226,"This AI Fund Is Crushing QQQ, and Nvidia Is Barely 2% of It",24/7 Wall St.,2026-08-28,-0.361,2,strong_buy,0.8,"YTD +199%, P/E 21.34, strong_buy consensus, news sentiment 0.185. Nvidia's memory procurement surge and tight supply through 2027 provide powerful tailwinds.",+199% YTD; P/E 21.34; strong_buy consensus; Nvidia memory demand,,,,,
STX,Seagate Technology,AI,memory,NASDAQ,829.76,-1.04%,-2.38%,+8.55%,+189.28%,+406%,188.355,2.102,59.74,4.78,2797766,15582966,107307866,35.0,4.12,strong_buy,1.44,-1.04,98.96,-1.04,989.6,-10.4,9896.0,-104.0,-2.38,97.62,-2.38,976.2,-23.8,9762.0,-238.0,8.55,108.55,8.55,1085.5,85.5,10855.0,855.0,189.28,289.28,189.28,2892.8,1892.8,28928.0,18928.0,406.0,506.0,406.0,5060.0,4060.0,50600.0,40600.0,4 High-Flying Memory & Storage Giants to Gain More Amid NVDA's Solid Q2,Zacks,2026-08-28,0.644,Seagate Stock Is Off 27%. Why It’s Time to Buy the Dip in STX for 36% Upside.,Barchart,2026-08-28,0.0,The Peer-Group Mispricing Sitting On SNDK Stock,Trefis,2026-08-28,0.0,,,,,,,,,,
MRVL,Marvell Technology,AI,memory,NASDAQ,216.62,-2.70%,-8.61%,+32.57%,+142.69%,+274%,194.677,,71.73,40.11,48739012,146999112,578691012,10.0,3.79,strong_buy,1.43,-2.7,97.3,-2.7,973.0,-27.0,9730.0,-270.0,-8.61,91.39,-8.61,913.9,-86.1,9139.0,-861.0,32.57,132.57,32.57,1325.7,325.7,13257.0,3257.0,142.69,242.69,142.69,2426.9,1426.9,24269.0,14269.0,274.0,374.0,274.0,3740.0,2740.0,37400.0,27400.0,Trending: Take-Two Interactive price ascends as 'Grand Theft Auto VI' is teased,Yahoo Finance Video,2026-08-28,0.202,Marvell's AI Bookings Are Stellar. But Its Gross Margin Guide Is What Moved the Stock.,Motley Fool,2026-08-29,-0.631,Marvell Technology (MRVL) Shares Fell After Earnings,Simply Wall St.,2026-08-29,0.296,3,strong_buy,1.0,"YTD +151%, 1M +28.6%, strong_buy consensus (an_score 1.43). Despite high P/E of 74.3, momentum is exceptional and analyst confidence is high.",+151% YTD; 1M +28.6%; strong_buy consensus; an_score 1.43,,,,,
P,Everpure,AI,memory,NYSE,93.4,-5.73%,-13.96%,+34.87%,+35.34%,+28%,31.047,1.414,127.95,3.13,3252539,22302139,80440139,,3.73,buy,1.65,-5.73,94.27,-5.73,942.7,-57.3,9427.0,-573.0,-13.96,86.04,-13.96,860.4,-139.6,8604.0,-1396.0,34.87,134.87,34.87,1348.7,348.7,13487.0,3487.0,35.34,135.34,35.34,1353.4,353.4,13534.0,3534.0,28.0,128.0,28.0,1280.0,280.0,12800.0,2800.0,Everpure (P) Grew Revenue 38% but Free Cash Flow Was Negative. Will the Coming Hyperscaler Ramp Convert Into Cash?,Insider Monkey,2026-08-29,-0.153,Everpure (P) Could Be 30% Below Fair Value After FY2027 Guidance Lift,Simply Wall St.,2026-08-28,0.572,BofA flips on Everpure after months on the sidelines,TheStreet,2026-08-28,0.0,,,,,,,,,,
RR.,Rolls-Royce Holdings,AI,nuclear-ops,LSE,20.72,+0.04%,+1.86%,+7.81%,+27.85%,+39%,1.708,1.19,42.51,23.58,11496266,70599005,480379933,78.0,,buy,1.6,0.04,100.04,0.04,1000.4,0.4,10004.0,4.0,1.86,101.86,1.86,1018.6,18.6,10186.0,186.0,7.81,107.81,7.81,1078.1,78.1,10781.0,781.0,27.85,127.85,27.85,1278.5,278.5,12785.0,2785.0,39.0,139.0,39.0,1390.0,390.0,13900.0,3900.0,Are Aerospace Stocks Lagging  RTX Corporation (RTX) This Year?,Zacks,2026-08-28,-0.273,NuScale Power Deploys AI to Accelerate Next-Generation Nuclear SMRs,Zacks,2026-08-26,0.0,Florida real estate mogul says your home is ‘a terrible investment’ — and he’d put $100K somewhere else. Is he right?,Moneywise,2026-08-21,-0.477,,,,,,,,,,
CEG,Constellation Energy,AI,nuclear-ops,NASDAQ,276.75,-1.64%,+1.42%,+7.45%,-24.10%,-8%,98.055,1.118,27.08,3.41,1720807,10571207,59768707,60.0,2.97,buy,1.55,-1.64,98.36,-1.64,983.6,-16.4,9836.0,-164.0,1.42,101.42,1.42,1014.2,14.2,10142.0,142.0,7.45,107.45,7.45,1074.5,74.5,10745.0,745.0,-24.1,75.9,-24.1,759.0,-241.0,7590.0,-2410.0,-8.0,92.0,-8.0,920.0,-80.0,9200.0,-800.0,Constellation's New Power Deals Are Piling Up. Here's Why the Stock Isn't Reflecting It Yet.,Motley Fool,2026-08-26,0.0,"CEG Stock Outperforms Industry in the Past Month: Buy, Hold or Sell",Zacks,2026-08-26,0.0,This Utility's Dividend Growth Is Boring by Design. That's Exactly Why I Own It.,Motley Fool,2026-08-26,0.077,,,,,,,,,,
VST,Vistra Corp,AI,nuclear-ops,NYSE,137.09,-2.19%,+0.65%,-4.01%,-16.80%,-25%,46.013,1.433,23.12,4.38,3049673,18674273,105519773,66.0,3.32,strong_buy,1.35,-2.19,97.81,-2.19,978.1,-21.9,9781.0,-219.0,0.65,100.65,0.65,1006.5,6.5,10065.0,65.0,-4.01,95.99,-4.01,959.9,-40.1,9599.0,-401.0,-16.8,83.2,-16.8,832.0,-168.0,8320.0,-1680.0,-25.0,75.0,-25.0,750.0,-250.0,7500.0,-2500.0,Is Vistra (VST) Undervalued As Power Demand Expectations Stay In Focus?,Simply Wall St.,2026-08-27,-0.128,VST Stock Underperforms Industry in the Past 6 Months: Buy or Hold?,Zacks,2026-08-27,0.0,Peter Thiel’s $418 Million Bet On These 8 Companies Reveals AI’s Biggest Bottleneck,24/7 Wall St.,2026-08-24,0.0,,,,,,,,,,
