ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_gbp_b,beta,pe_ratio,avg_volume_m,vol_1d,vol_1w,vol_1m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
SNDK,SanDisk Corporation,AI,memory,NASDAQ,2090.71,-9.76%,-4.30%,+31.50%,+659.60%,+4852%,234.59,,71.62,14.12,16567766,64865166,247045866,,11.5,buy,1.59,-9.76,90.24,-9.76,902.4,-97.6,9024.0,-976.0,-4.3,95.7,-4.3,957.0,-43.0,9570.0,-430.0,31.5,131.5,31.5,1315.0,315.0,13150.0,3150.0,659.6,759.6,659.6,7596.0,6596.0,75960.0,65960.0,4852.0,4952.0,4852.0,49520.0,48520.0,495200.0,485200.0,Semiconductor stocks retreat over worries about memory costs,Yahoo Finance,2026-06-26,-0.25,"Stock Market Today, June 26: Sandisk Tumbles and Tech Weakness Weighs on Markets",Motley Fool,2026-06-26,-0.421,"Dow Jones Futures: Market At Tipping Point, Here's What To Do. Eli Lilly Soars, Tesla On Tap.",Investor's Business Daily,2026-06-26,0.0,2,strong_buy,1.0,"Micron's earnings reinforce NAND tightness; SNDK itself delivered record Q3 revenue of $5.95B (+97% QoQ) and guided Q4 revenue $7.75-8.25B with 79-81% gross margins; stock +748.35% YTD, +46.90% 1M, buy consensus with strong tailwinds.",+97% QoQ revenue growth; Q4 guide $7.75-8.25B; 79-81% gross margins; +748% YTD momentum,,,,,
WDC,Western Digital,AI,memory,NASDAQ,586.45,-12.86%,-21.41%,+10.55%,+212.67%,+967%,153.159,2.2,35.16,8.12,21366429,71142929,214145129,9.0,8.66,buy,1.56,-12.86,87.14,-12.86,871.4,-128.6,8714.0,-1286.0,-21.41,78.59,-21.41,785.9,-214.1,7859.0,-2141.0,10.55,110.55,10.55,1105.5,105.5,11055.0,1055.0,212.67,312.67,212.67,3126.7,2126.7,31267.0,21267.0,967.0,1067.0,967.0,10670.0,9670.0,106700.0,96700.0,Semiconductor stocks retreat over worries about memory costs,Yahoo Finance,2026-06-26,-0.25,Stock Market Today: Nasdaq Torched For Big Weekly Loss; Electronics Players Get Crushed (Live Coverage),Investor's Business Daily,2026-06-26,-0.625,Update: Technology Helps Push US Equity Indexes Lower; Israel-Lebanon Sign 'Framework Agreement',MT Newswires,2026-06-26,0.557,8,strong_buy,1.0,"Memory and storage play up +260.09% YTD, P/E 40.5 is attractive relative to memory peers, high dividend yield 9%; buy consensus, but caution on 1W -5.16% and 1D -6.70% pullback; positive news sentiment 0.034.",+260.09% YTD; P/E 40.5; dividend yield 9%; buy consensus,,,,,
285A,Kioxia Holdings,AI,memory,TSE,92180.0,-11.92%,-15.12%,+47.58%,+712.16%,+4016%,236.271,,91.74,36.16,43906600,190879700,918004300,,,buy,1.62,-11.92,88.08,-11.92,880.8,-119.2,8808.0,-1192.0,-15.12,84.88,-15.12,848.8,-151.2,8488.0,-1512.0,47.58,147.58,47.58,1475.8,475.8,14758.0,4758.0,712.16,812.16,712.16,8121.6,7121.6,81216.0,71216.0,4016.0,4116.0,4016.0,41160.0,40160.0,411600.0,401600.0,Apple Price Hikes Spark Asia Tech Selloff on Memory Cost Concern,Bloomberg,2026-06-26,0.226,Micron Jumps 267% as It Sees Memory Shortages Beyond 2027,GuruFocus.com,2026-06-25,-0.153,Japan's Nikkei Hits Record High After Micron's Blockbuster Results Soothe Investor Concerns,Barrons.com,2026-06-25,0.751,4,strong_buy,1.0,"Memory AI play with +707.49% YTD and extremely strong 1M momentum (+46.73%); news sentiment is the most positive in the memory group (0.347) citing memory shortages beyond 2027; P/E 91, buy consensus.",+707% YTD; +46.73% 1M; news sentiment 0.347; memory shortage tailwind,,,,,
MU,Micron Technology,AI,memory,NASDAQ,1132.33,-4.71%,-0.15%,+21.96%,+259.14%,+873%,968.969,2.173,25.57,51.58,84431604,348895304,1282732504,4.0,3.69,strong_buy,1.49,-4.71,95.29,-4.71,952.9,-47.1,9529.0,-471.0,-0.15,99.85,-0.15,998.5,-1.5,9985.0,-15.0,21.96,121.96,21.96,1219.6,219.6,12196.0,2196.0,259.14,359.14,259.14,3591.4,2591.4,35914.0,25914.0,873.0,973.0,873.0,9730.0,8730.0,97300.0,87300.0,"Stock market today: S&P 500, Nasdaq snap 2-week win streak as AI jitters pressure tech",Yahoo Finance,2026-06-25,0.382,Semiconductor stocks retreat over worries about memory costs,Yahoo Finance,2026-06-26,-0.25,Micron is looking to end the memory industry's boom-bust cycle,Yahoo Finance,2026-06-25,0.0,1,strong_buy,1.0,"Blowout earnings (+346% YoY revenue to $41.5B, EPS $25.11 vs $20.49 est) and record Q4 guidance of ~$50B vs $43.2B consensus, with $100B in contracted customer agreements locking in high margins through 2030; P/E 27.4, strong_buy consensus, +284.91% YTD.",+346% YoY revenue beat; $50B Q4 guidance vs $43.2B est; $100B contracted backlog; strong_buy consensus,,,,,
STX,Seagate Technology,AI,memory,NASDAQ,899.9,-12.20%,-15.86%,+3.43%,+213.73%,+625%,154.269,2.083,85.22,4.14,9175598,31067398,96958598,29.0,4.27,buy,1.54,-12.2,87.8,-12.2,878.0,-122.0,8780.0,-1220.0,-15.86,84.14,-15.86,841.4,-158.6,8414.0,-1586.0,3.43,103.43,3.43,1034.3,34.3,10343.0,343.0,213.73,313.73,213.73,3137.3,2137.3,31373.0,21373.0,625.0,725.0,625.0,7250.0,6250.0,72500.0,62500.0,"Stock Market Today, June 26: Sandisk Tumbles and Tech Weakness Weighs on Markets",Motley Fool,2026-06-26,-0.421,"Stocks making big moves this week: Qualcomm, Accenture, 10x Genomics, Seagate, and Lattice Semiconductor",StockStory,2026-06-26,0.0,Stock Market Today: Nasdaq Torched For Big Weekly Loss; Electronics Players Get Crushed (Live Coverage),Investor's Business Daily,2026-06-26,-0.625,7,strong_buy,1.0,"Memory/HDD play with +257.47% YTD, strong news sentiment 0.342, and P/E 97 is elevated but supported by Micron's structural demand view; analysts maintain buy ratings with price target boosts despite recent 1W pullback.",+257.47% YTD; news sentiment 0.342; buy consensus; memory demand cycle,,,,,
MRVL,Marvell Technology,AI,memory,NASDAQ,266.77,-3.87%,-14.11%,+34.26%,+198.80%,+265%,176.822,2.277,91.99,42.4,40984037,211449237,1542861637,9.0,5.26,strong_buy,1.45,-3.87,96.13,-3.87,961.3,-38.7,9613.0,-387.0,-14.11,85.89,-14.11,858.9,-141.1,8589.0,-1411.0,34.26,134.26,34.26,1342.6,342.6,13426.0,3426.0,198.8,298.8,198.8,2988.0,1988.0,29880.0,19880.0,265.0,365.0,265.0,3650.0,2650.0,36500.0,26500.0,Semiconductor stocks retreat over worries about memory costs,Yahoo Finance,2026-06-26,-0.25,Is The Growth Baked Into Advanced Micro Devices Stock Believable?,Trefis,2026-06-26,0.557,How Much Upside Can NVDA Stock's Growth Deliver?,Trefis,2026-06-26,0.382,3,strong_buy,1.0,"Key AI interconnect play; joined S&P 500, received Nvidia strategic investment, and Jensen Huang called it the 'next trillion-dollar company'; +215% YTD, strong_buy consensus (an_score 1.45), positive news sentiment 0.21.",Nvidia strategic investment; S&P 500 inclusion; strong_buy consensus; +215% YTD,,,,,
P,Everpure,AI,memory,NYSE,69.16,-3.41%,-7.30%,-19.34%,+0.22%,+29%,17.419,1.445,104.79,3.32,5663091,16326791,93022091,,3.95,buy,1.9,-3.41,96.59,-3.41,965.9,-34.1,9659.0,-341.0,-7.3,92.7,-7.3,927.0,-73.0,9270.0,-730.0,-19.34,80.66,-19.34,806.6,-193.4,8066.0,-1934.0,0.22,100.22,0.22,1002.2,2.2,10022.0,22.0,29.0,129.0,29.0,1290.0,290.0,12900.0,2900.0,"Quantum's Q4 Adjusted Loss Narrows Y/Y, Revenues Match Estimates",Zacks,2026-06-26,-0.318,KEEL vs. P: Which AI Infrastructure Stock Provides an Upside?,Zacks,2026-06-26,0.0,"Is Corpay, Inc. (CPAY) Outperforming Other Business Services Stocks This Year?",Zacks,2026-06-23,0.0,,,,,,,,,,
RR.,Rolls-Royce Holdings,AI,nuclear-ops,LSE,1406.2,-1.80%,-0.14%,+11.50%,+17.48%,+50%,1.165,1.22,20.38,34.63,32019966,218185456,790581699,66.0,,buy,1.6,-1.8,98.2,-1.8,982.0,-18.0,9820.0,-180.0,-0.14,99.86,-0.14,998.6,-1.4,9986.0,-14.0,11.5,111.5,11.5,1115.0,115.0,11150.0,1150.0,17.48,117.48,17.48,1174.8,174.8,11748.0,1748.0,50.0,150.0,50.0,1500.0,500.0,15000.0,5000.0,AirAsia Shares Drop 30% as Carrier Seeks Payment Deferrals,GuruFocus.com,2026-06-24,0.026,Is Heico (HEI) Stock Outpacing Its Aerospace Peers This Year?,Zacks,2026-06-24,0.0,The hidden reality behind Britain’s homegrown nuclear age,The Telegraph,2026-06-21,0.0,9,buy,0.65,"Nuclear ops play with +19.64% YTD, +13.54% 1M, P/E 20.8 is the cheapest in the nuclear group; dividend yield 66% is attractive; buy consensus, benefits from AI data center power demand.",P/E 20.8; +13.54% 1M; dividend yield 66%; AI power demand theme,,,,,
CEG,Constellation Energy,AI,nuclear-ops,NASDAQ,264.02,-2.21%,-3.66%,-8.54%,-27.70%,-16%,71.437,1.091,22.96,3.53,3593112,15947912,93123812,63.0,3.56,buy,1.52,-2.21,97.79,-2.21,977.9,-22.1,9779.0,-221.0,-3.66,96.34,-3.66,963.4,-36.6,9634.0,-366.0,-8.54,91.46,-8.54,914.6,-85.4,9146.0,-854.0,-27.7,72.3,-27.7,723.0,-277.0,7230.0,-2770.0,-16.0,84.0,-16.0,840.0,-160.0,8400.0,-1600.0,Nuclear Stocks And Small Modular Reactors Ace Big Wins. A DOE Deadline Looms.,Investor's Business Daily,2026-06-26,0.477,Sector Update: Energy Stocks Decline Late Afternoon,MT Newswires,2026-06-26,0.273,Sector Update: Energy Stocks Decline Friday Afternoon,MT Newswires,2026-06-26,0.273,,,,,,,,,,
VST,Vistra Corp,AI,nuclear-ops,NYSE,163.49,-2.36%,-0.02%,+2.23%,-0.78%,-14%,41.768,1.405,27.39,4.64,5344277,21526677,97345477,55.0,5.27,strong_buy,1.4,-2.36,97.64,-2.36,976.4,-23.6,9764.0,-236.0,-0.02,99.98,-0.02,999.8,-0.2,9998.0,-2.0,2.23,102.23,2.23,1022.3,22.3,10223.0,223.0,-0.78,99.22,-0.78,992.2,-7.8,9922.0,-78.0,-14.0,86.0,-14.0,860.0,-140.0,8600.0,-1400.0,Vistra Corp. (VST) Is a Trending Stock: Facts to Know Before Betting on It,Zacks,2026-06-24,0.0,Vistra Corp. (VST) Advances While Market Declines: Some Information for Investors,Zacks,2026-06-22,0.0,Here is Why Vistra (VST) is Among the Best Electrical Infrastructure Stocks to Buy in 2026,Insider Monkey,2026-06-22,0.637,,,,,,,,,,
