ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_gbp_b,beta,pe_ratio,avg_volume_m,vol_1d,vol_1w,vol_1m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
SNDK,SanDisk Corporation,AI,memory,NASDAQ,1831.5,+6.66%,+15.19%,+45.84%,+565.42%,+4210%,202.091,,62.77,15.97,11560004,47090204,297107304,,9.63,buy,1.55,6.66,106.66,6.66,1066.6,66.6,10666.0,666.0,15.19,115.19,15.19,1151.9,151.9,11519.0,1519.0,45.84,145.84,45.84,1458.4,458.4,14584.0,4584.0,565.42,665.42,565.42,6654.2,5654.2,66542.0,56542.0,4210.0,4310.0,4210.0,43100.0,42100.0,431000.0,421000.0,Marvell Stock Closes at a Record High. The Next Big Catalyst Is in Sight.,Barrons.com,2026-06-03,0.0,"Stock Market Today, June 3: Markets End Winning Streak on Middle East Escalation Fears",Motley Fool,2026-06-03,0.153,These Experts Say the Memory-Stock Runup May Not Be Over Yet,Investopedia,2026-06-03,0.0,9,buy,0.6,"SNDK has +523.59% YTD, +36.67% 1M, buy consensus with an_score 1.55, P/E 58.7, and positive news sentiment 0.379; memory sector momentum supports continued upside.",+523.59% YTD; +36.67% 1M; buy consensus; positive news sentiment,,,,,
WDC,Western Digital,AI,memory,NASDAQ,594.11,+5.31%,+11.97%,+34.30%,+216.67%,+935%,152.581,2.158,35.53,7.86,7226527,32882827,155963627,11.0,9.74,buy,1.52,5.31,105.31,5.31,1053.1,53.1,10531.0,531.0,11.97,111.97,11.97,1119.7,119.7,11197.0,1197.0,34.3,134.3,34.3,1343.0,343.0,13430.0,3430.0,216.67,316.67,216.67,3166.7,2166.7,31667.0,21667.0,935.0,1035.0,935.0,10350.0,9350.0,103500.0,93500.0,How The Western Digital (WDC) Investment Story Is Shifting With AI Storage And New Valuations,Simply Wall St.,2026-06-03,0.0,Western Digital Could Be Halfway Through Retiring 2028 Convertible Debt. What It Means for the Stock.,Barrons.com,2026-06-03,-0.361,PENG's Integrated Memory Segment Rises: Can It Drive Long-Term Growth?,Zacks,2026-06-03,0.382,,,,,,,,,,
285A,Kioxia Holdings,AI,memory,TSE,78080.0,+0.97%,+28.95%,+79.87%,+587.93%,+3664%,198.646,,77.52,35.63,43609900,208281800,712549800,,,buy,1.62,0.97,100.97,0.97,1009.7,9.7,10097.0,97.0,28.95,128.95,28.95,1289.5,289.5,12895.0,2895.0,79.87,179.87,79.87,1798.7,798.7,17987.0,7987.0,587.93,687.93,587.93,6879.3,5879.3,68793.0,58793.0,3664.0,3764.0,3664.0,37640.0,36640.0,376400.0,366400.0,A Look At Kioxia Holdings (TSE:285A) Valuation After Its Sharp Share Price Surge,Simply Wall St.,2026-06-03,0.296,Kioxia Surges 660% As AI Boom Reshapes Japan's Market,GuruFocus.com,2026-06-03,0.0,Micron Stock Keeps Rising But Chinese Memory-Chip Makers Are Closing the Gap,Barrons.com,2026-06-03,0.0,5,buy,0.72,"285A has +583.17% YTD, +78.62% 1M, +24.14% 1W, buy consensus with an_score 1.62, and P/E 76.92; SK Hynix's $1T market cap milestone underscores memory sector strength.",+583.17% YTD; +78.62% 1M; buy consensus; memory sector strength,,,,,
MU,Micron Technology,AI,memory,NASDAQ,1079.57,+2.16%,+16.28%,+87.28%,+242.41%,+931%,907.135,1.919,50.97,48.2,39267880,243568280,1210500280,6.0,3.13,strong_buy,1.48,2.16,102.16,2.16,1021.6,21.6,10216.0,216.0,16.28,116.28,16.28,1162.8,162.8,11628.0,1628.0,87.28,187.28,87.28,1872.8,872.8,18728.0,8728.0,242.41,342.41,242.41,3424.1,2424.1,34241.0,24241.0,931.0,1031.0,931.0,10310.0,9310.0,103100.0,93100.0,Marvell stock extends gains after a 32% pop as Nvidia CEO calls chipmaker 'the next trillion-dollar company',Yahoo Finance,2026-06-02,0.44,"Stock Market Today, June 3: Markets End Winning Streak on Middle East Escalation Fears",Motley Fool,2026-06-03,0.153,Why Advanced Micro Devices Could Be the Next $1 Trillion Stock,Barrons.com,2026-06-03,0.25,2,strong_buy,0.82,"MU has +237.5% YTD, +84.6% 1M, strong_buy consensus with an_score 1.48, P/E 50.12, and positive news sentiment 0.31; memory cycle tailwinds and AI demand are key catalysts.",+237.5% YTD; +84.6% 1M; strong_buy consensus; P/E 50.12,,,,,
STX,Seagate Technology,AI,memory,NASDAQ,940.69,+1.28%,+8.04%,+27.37%,+227.72%,+626%,157.164,2.009,89.08,3.93,2883334,16315834,85844834,32.0,4.76,buy,1.54,1.28,101.28,1.28,1012.8,12.8,10128.0,128.0,8.04,108.04,8.04,1080.4,80.4,10804.0,804.0,27.37,127.37,27.37,1273.7,273.7,12737.0,2737.0,227.72,327.72,227.72,3277.2,2277.2,32772.0,22772.0,626.0,726.0,626.0,7260.0,6260.0,72600.0,62600.0,"Space Florida to fund ocean-based space launch company, other secretive projects",Orlando Sentinel,2026-06-03,0.0,Seagate Settlement Over Huawei Sales Reframes Risks For Soaring Stock Narrative,Simply Wall St.,2026-06-03,-0.273,Q1 Earnings Roundup: Seagate (NASDAQ:STX) And The Rest Of The Semiconductors Segment,StockStory,2026-06-02,0.0,,,,,,,,,,
MRVL,Marvell Technology,AI,memory,NASDAQ,301.65,-5.37%,+51.81%,+84.32%,+237.87%,+339%,196.789,2.251,103.66,29.04,108602556,340825256,796067356,8.0,4.31,strong_buy,1.43,-5.37,94.63,-5.37,946.3,-53.7,9463.0,-537.0,51.81,151.81,51.81,1518.1,518.1,15181.0,5181.0,84.32,184.32,84.32,1843.2,843.2,18432.0,8432.0,237.87,337.87,237.87,3378.7,2378.7,33787.0,23787.0,339.0,439.0,339.0,4390.0,3390.0,43900.0,33900.0,Bitcoin dropped below $70K. So how are crypto traders feeling?,Yahoo Finance Video,2026-06-03,0.128,Marvell stock extends gains after a 32% pop as Nvidia CEO calls chipmaker 'the next trillion-dollar company',Yahoo Finance,2026-06-02,0.44,Why Marvell Technology Bumped Higher Again on Wednesday,Motley Fool,2026-06-03,0.0,3,strong_buy,0.8,"MRVL has +225.7% YTD, +77.68% 1M, +32.48% 1D, strong_buy consensus with an_score 1.41, and Nvidia CEO endorsement; P/E 99.59 is elevated but justified by AI networking growth.",+225.7% YTD; +32.48% 1D; strong_buy consensus; Nvidia endorsement,,,,,
P,Everpure,AI,memory,NYSE,80.84,-1.66%,-5.71%,+11.12%,+17.14%,+52%,20.007,1.438,122.48,3.15,3319818,31460518,93130618,,4.36,buy,1.9,-1.66,98.34,-1.66,983.4,-16.6,9834.0,-166.0,-5.71,94.29,-5.71,942.9,-57.1,9429.0,-571.0,11.12,111.12,11.12,1111.2,111.2,11112.0,1112.0,17.14,117.14,17.14,1171.4,171.4,11714.0,1714.0,52.0,152.0,52.0,1520.0,520.0,15200.0,5200.0,Everpure FlashArray Support Deal With Park Place Raises New Investor Questions,Simply Wall St.,2026-06-03,0.402,Is It Too Late To Reassess Everpure (P) After Its Strong Share Price Run?,Simply Wall St.,2026-06-03,0.67,"Is Everpure (P) a Solid Growth Stock? 3 Reasons to Think ""Yes""",Zacks,2026-06-03,0.71,,,,,,,,,,
RR.,Rolls-Royce Holdings,AI,nuclear-ops,LSE,1258.2,-1.75%,-3.01%,+4.68%,+5.12%,+44%,1.044,1.2,18.23,36.16,30351623,215609889,641620792,74.0,,buy,1.7,-1.75,98.25,-1.75,982.5,-17.5,9825.0,-175.0,-3.01,96.99,-3.01,969.9,-30.1,9699.0,-301.0,4.68,104.68,4.68,1046.8,46.8,10468.0,468.0,5.12,105.12,5.12,1051.2,51.2,10512.0,512.0,44.0,144.0,44.0,1440.0,440.0,14400.0,4400.0,Rolls-Royce Shares Climb 40% As Engine Comeback Gains Orders,GuruFocus.com,2026-06-03,0.557,Rolls-Royce Broadens Earnings Mix With SMR Deals And Narrowbody Plans,Simply Wall St.,2026-06-03,0.0,Rolls-Royce updates Spectre EV — one of the few luxury EVs performing well,Yahoo Finance,2026-06-02,0.273,,,,,,,,,,
CEG,Constellation Energy,AI,nuclear-ops,NASDAQ,267.24,-2.18%,-7.43%,-16.63%,-26.82%,-9%,71.505,1.155,23.22,3.27,4298133,28422933,89637333,63.0,3.25,buy,1.57,-2.18,97.82,-2.18,978.2,-21.8,9782.0,-218.0,-7.43,92.57,-7.43,925.7,-74.3,9257.0,-743.0,-16.63,83.37,-16.63,833.7,-166.3,8337.0,-1663.0,-26.82,73.18,-26.82,731.8,-268.2,7318.0,-2682.0,-9.0,91.0,-9.0,910.0,-90.0,9100.0,-900.0,"Texas Instruments Is a Major Winner of the AI Power Bottleneck, Investors Just Aren’t Seeing It Yet",Barchart,2026-06-03,0.624,Constellation’s Three Mile Island nuclear restart gets boost with FERC waiver,Utility Dive,2026-06-03,0.402,Is Constellation Energy (CEG) Offering Opportunity After Recent Share Price Pullback?,Simply Wall St.,2026-06-02,0.727,,,,,,,,,,
VST,Vistra Corp,AI,nuclear-ops,NYSE,153.8,-2.19%,-3.97%,-4.38%,-6.79%,-9%,38.64,1.447,25.68,4.67,3336030,19582830,126665530,58.0,4.61,strong_buy,1.42,-2.19,97.81,-2.19,978.1,-21.9,9781.0,-219.0,-3.97,96.03,-3.97,960.3,-39.7,9603.0,-397.0,-4.38,95.62,-4.38,956.2,-43.8,9562.0,-438.0,-6.79,93.21,-6.79,932.1,-67.9,9321.0,-679.0,-9.0,91.0,-9.0,910.0,-90.0,9100.0,-900.0,"Texas Instruments Is a Major Winner of the AI Power Bottleneck, Investors Just Aren’t Seeing It Yet",Barchart,2026-06-03,0.624,Can GE Vernova Benefit From the Global Gas Turbine Supply Crunch?,Zacks,2026-06-03,0.459,Vistra (VST) Valuation Check After Recent Share Price Pullback,Simply Wall St.,2026-06-02,0.296,,,,,,,,,,
