ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_usd_b,beta,pe_ratio,avg_volume_m,vol_1d,vol_1w,vol_1m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
SNDK,SanDisk Corporation,AI,memory,NASDAQ,1727.18,+9.38%,-24.04%,+4.90%,+527.52%,+3402%,255.777,,58.99,13.54,11838624,63849424,244094024,,11.5,buy,1.59,9.38,109.38,9.38,1093.8,93.8,10938.0,938.0,-24.04,75.96,-24.04,759.6,-240.4,7596.0,-2404.0,4.9,104.9,4.9,1049.0,49.0,10490.0,490.0,527.52,627.52,527.52,6275.2,5275.2,62752.0,52752.0,3402.0,3502.0,3402.0,35020.0,34020.0,350200.0,340200.0,AI memory stocks trim losses as investors buy the dip,Yahoo Finance,2026-07-08,-0.402,"Dow Jones Futures: Oil Spikes On Iran News, But Nvidia, Valero, Dell Rise; SpaceX Hits New Low",Investor's Business Daily,2026-07-08,-0.392,Sandisk (SNDK): Among the Most Profitable Cheap Stocks to Invest In,Insider Monkey,2026-07-08,0.493,,,,,,,,,,
WDC,Western Digital,AI,memory,NASDAQ,550.3,+5.00%,-13.84%,+6.29%,+193.32%,+723%,189.679,2.166,32.93,8.37,6471562,38925662,214165662,11.0,8.66,strong_buy,1.5,5.0,105.0,5.0,1050.0,50.0,10500.0,500.0,-13.84,86.16,-13.84,861.6,-138.4,8616.0,-1384.0,6.29,106.29,6.29,1062.9,62.9,10629.0,629.0,193.32,293.32,193.32,2933.2,1933.2,29332.0,19332.0,723.0,823.0,723.0,8230.0,7230.0,82300.0,72300.0,AI memory stocks trim losses as investors buy the dip,Yahoo Finance,2026-07-08,-0.402,Stock Market Today: Nasdaq Swings To Score A Win; Fed Minutes Show Split On Direction,Investor's Business Daily,2026-07-08,0.586,"Every Memory Stock Is Now in a Bear Market: Is Micron, SanDisk, or Applied Materials the Best Buy?",24/7 Wall St.,2026-07-08,0.637,,,,,,,,,,
285A,Kioxia Holdings,AI,memory,TSE,442.15,-1.06%,-18.45%,-0.01%,+533.22%,+2574%,241.962,,71.42,36.74,48348100,236570200,908751400,,,buy,1.62,-1.06,98.94,-1.06,989.4,-10.6,9894.0,-106.0,-18.45,81.55,-18.45,815.5,-184.5,8155.0,-1845.0,-0.01,99.99,-0.01,999.9,-0.1,9999.0,-1.0,533.22,633.22,533.22,6332.2,5332.2,63322.0,53322.0,2574.0,2674.0,2574.0,26740.0,25740.0,267400.0,257400.0,Samsung Mass Produces Storage Drives for Nvidia’s Vera Rubin,Bloomberg,2026-07-07,0.0,Samsung's 19-Fold Profit Surge Fails to Stop 10% Stock Drop,GuruFocus.com,2026-07-07,-0.494,Synopsys to phase out chip manufacturing software as AI design becomes strategic focus (SNPS),InvestorsHub,2026-07-07,0.0,,,,,,,,,,
MU,Micron Technology,AI,memory,NASDAQ,948.8,+3.71%,-17.79%,+1.40%,+200.98%,+668%,1071.569,2.142,21.47,51.46,40550345,242678645,1127045745,6.0,3.69,strong_buy,1.42,3.71,103.71,3.71,1037.1,37.1,10371.0,371.0,-17.79,82.21,-17.79,822.1,-177.9,8221.0,-1779.0,1.4,101.4,1.4,1014.0,14.0,10140.0,140.0,200.98,300.98,200.98,3009.8,2009.8,30098.0,20098.0,668.0,768.0,668.0,7680.0,6680.0,76800.0,66800.0,AI memory stocks trim losses as investors buy the dip,Yahoo Finance,2026-07-08,-0.402,"Micron, Broadcom, Palantir, Delta, SpaceX, and More Stocks That Explain Today’s Market",Barrons.com,2026-07-08,0.0,Is Micron (MU) One of the Most Profitable Cheap Stocks to Buy Right Now?,Insider Monkey,2026-07-08,0.493,,,,,,,,,,
STX,Seagate Technology,AI,memory,NASDAQ,860.02,+5.05%,-10.88%,+1.73%,+199.83%,+483%,194.581,2.067,81.83,4.3,4922443,22423743,100339243,36.0,4.27,buy,1.52,5.05,105.05,5.05,1050.5,50.5,10505.0,505.0,-10.88,89.12,-10.88,891.2,-108.8,8912.0,-1088.0,1.73,101.73,1.73,1017.3,17.3,10173.0,173.0,199.83,299.83,199.83,2998.3,1998.3,29983.0,19983.0,483.0,583.0,483.0,5830.0,4830.0,58300.0,48300.0,"Every Memory Stock Is Now in a Bear Market: Is Micron, SanDisk, or Applied Materials the Best Buy?",24/7 Wall St.,2026-07-08,0.637,Melius Research Starts Coverage of Seagate Technology Holdings plc (STX),Insider Monkey,2026-07-08,0.0,WDC Stock Outshines Industry Returns in a Year: Should You Jump In?,Zacks,2026-07-08,0.0,,,,,,,,,,
MRVL,Marvell Technology,AI,memory,NASDAQ,231.71,+2.48%,-22.22%,-13.18%,+159.53%,+219%,202.7,2.197,79.63,43.37,24599756,158725256,1104438956,10.0,5.26,strong_buy,1.43,2.48,102.48,2.48,1024.8,24.8,10248.0,248.0,-22.22,77.78,-22.22,777.8,-222.2,7778.0,-2222.0,-13.18,86.82,-13.18,868.2,-131.8,8682.0,-1318.0,159.53,259.53,159.53,2595.3,1595.3,25953.0,15953.0,219.0,319.0,219.0,3190.0,2190.0,31900.0,21900.0,The MediaTek Ghost Story Just Dropped the World’s Most Powerful Custom-Silicon Juggernaut Into a 25% Discount Zone,24/7 Wall St.,2026-07-08,0.201,Marvell (MRVL) Is Down 22.6% After NVIDIA’s $2 Billion AI Bet And Index Exit - What's Changed,Simply Wall St.,2026-07-08,0.0,Marvell: The Next Trillion Dollar AI Stock,Zacks,2026-07-08,0.0,,,,,,,,,,
P,Everpure,AI,memory,NYSE,77.73,-0.23%,-1.35%,+11.04%,+12.64%,+34%,25.838,1.447,117.77,3.37,1742589,11465389,64285889,,3.95,buy,1.9,-0.23,99.77,-0.23,997.7,-2.3,9977.0,-23.0,-1.35,98.65,-1.35,986.5,-13.5,9865.0,-135.0,11.04,111.04,11.04,1110.4,110.4,11104.0,1104.0,12.64,112.64,12.64,1126.4,126.4,11264.0,1264.0,34.0,134.0,34.0,1340.0,340.0,13400.0,3400.0,Super Micro Computer (SMCI) Launches Kubernetes Edge AI Appliances With Red Hat And Everpure,Simply Wall St.,2026-07-08,0.599,Supermicro Shares Gain Following Launch of Kubernetes Edge AI Appliance (SMCI),InvestorsHub,2026-07-08,0.681,"Alight, Taboola, Everpure, NetApp, and Rumble Shares Are Soaring, What You Need To Know",StockStory,2026-07-06,0.296,10,buy,0.6,"P has strong recent momentum with +8.2% 1W and +6.1% 1M gains, a +37% 1Y return, and positive news sentiment of 0.19. The buy rating with an an_score of 1.9 and a modest market cap of $26B offer a smaller-cap AI infrastructure growth opportunity.",+8.2% 1-week momentum; +6.1% 1-month momentum; buy rating; News sentiment 0.19,,,,,
RR.,Rolls-Royce Holdings,AI,nuclear-ops,LSE,18.73,-3.34%,-4.22%,+10.96%,+16.91%,+47%,1.553,1.203,20.28,32.65,18157969,93798866,621222831,66.0,,buy,1.6,-3.34,96.66,-3.34,966.6,-33.4,9666.0,-334.0,-4.22,95.78,-4.22,957.8,-42.2,9578.0,-422.0,10.96,110.96,10.96,1109.6,109.6,11096.0,1096.0,16.91,116.91,16.91,1169.1,169.1,11691.0,1691.0,47.0,147.0,47.0,1470.0,470.0,14700.0,4700.0,"FTSE 100 Live: Shell and consumer giants make gains, while miners and defence sell off",Proactive,2026-07-07,0.421,Rolls-Royce Holdings PLC (RYCEY) Is Up 5.48% in One Week: What You Should Know,Zacks,2026-07-06,0.0,Rolls-Royce (LSE:RR.) Adds New Directors And Teams Up With Bombardier On Engine Monitoring,Simply Wall St.,2026-07-03,0.0,7,buy,0.69,"RR. has a +56% 1Y return, +21% YTD, and strong 1M momentum of +14.8% with a reasonable P/E of 21. The positive news sentiment of 0.21 and exposure to nuclear operations for AI data center power support continued growth.",+56% 1-year return; +14.8% 1-month momentum; P/E 21; News sentiment 0.21,,,,,
CEG,Constellation Energy,AI,nuclear-ops,NASDAQ,244.52,+2.07%,-1.55%,-2.83%,-33.04%,-24%,87.318,1.121,21.24,3.68,2717593,22623393,81145193,71.0,3.56,buy,1.52,2.07,102.07,2.07,1020.7,20.7,10207.0,207.0,-1.55,98.45,-1.55,984.5,-15.5,9845.0,-155.0,-2.83,97.17,-2.83,971.7,-28.3,9717.0,-283.0,-33.04,66.96,-33.04,669.6,-330.4,6696.0,-3304.0,-24.0,76.0,-24.0,760.0,-240.0,7600.0,-2400.0,XLU vs. VPU: Which Utilities ETF Best Powers the AI Data-Center Boom?,24/7 Wall St.,2026-07-08,0.637,"CEG Stock Trails Industry in the Past Year: Time to Buy, Hold or Sell?",Zacks,2026-07-08,0.0,3 Powerful Nuclear Energy Stocks to Buy in July,24/7 Wall St.,2026-07-08,0.599,,,,,,,,,,
VST,Vistra Corp,AI,nuclear-ops,NYSE,154.82,-0.37%,-2.40%,+6.03%,-6.04%,-21%,52.203,1.409,25.89,4.69,2477841,18245141,87731441,59.0,5.27,strong_buy,1.4,-0.37,99.63,-0.37,996.3,-3.7,9963.0,-37.0,-2.4,97.6,-2.4,976.0,-24.0,9760.0,-240.0,6.03,106.03,6.03,1060.3,60.3,10603.0,603.0,-6.04,93.96,-6.04,939.6,-60.4,9396.0,-604.0,-21.0,79.0,-21.0,790.0,-210.0,7900.0,-2100.0,Is Vistra (VST) Undervalued Following PJM's Record Fourth Of July Power Demand?,Simply Wall St.,2026-07-08,-0.128,XLU vs. VPU: Which Utilities ETF Best Powers the AI Data-Center Boom?,24/7 Wall St.,2026-07-08,0.637,"CEG Stock Trails Industry in the Past Year: Time to Buy, Hold or Sell?",Zacks,2026-07-08,0.0,8,strong_buy,0.7,"VST has a strong_buy consensus (an_score 1.4) and positive 1M momentum of +6.2% despite a -18% 1Y return. The P/E of 26 is attractive for an AI power demand play, supported by news sentiment of 0.23 and analyst optimism on electricity demand.",strong_buy consensus; analyst score 1.4; +6.2% 1-month momentum; P/E 26,,,,,
