ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_gbp_b,beta,pe_ratio,avg_volume_m,vol_1d,vol_1w,vol_1m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
SNDK,SanDisk Corporation,AI,memory,NASDAQ,2335.0,+8.60%,+19.21%,+46.90%,+748.35%,+3936%,262.019,,79.72,14.19,14790307,60235807,243157907,,9.71,buy,1.59,8.6,108.6,8.6,1086.0,86.0,10860.0,860.0,19.21,119.21,19.21,1192.1,192.1,11921.0,1921.0,46.9,146.9,46.9,1469.0,469.0,14690.0,4690.0,748.35,848.35,748.35,8483.5,7483.5,84835.0,74835.0,3936.0,4036.0,3936.0,40360.0,39360.0,403600.0,393600.0,"Sandisk, Western Digital, and others soar as Micron results  'justify elevated valuations'",Yahoo Finance,2026-06-25,0.0,"Microsoft stock tumbles, Micron sparks memory chip rally, Qualcomm's data center venture",Yahoo Finance Video,2026-06-25,0.0,Dow Jones Futures: Mixed Market Signals As Micron's Gain Is Apple's Pain,Investor's Business Daily,2026-06-25,0.026,8,strong_buy,1.0,"YTD of +613.41% and 1M of +23.53% with a buy analyst consensus; the -13.31% 1D crash on Korean contagion is severe, but the underlying Q3 beat (revenue $5.95B vs $4.73B consensus) and 645% datacenter YoY growth suggest fundamentals remain intact ([247wallst.com](https://247wallst.com/investing/2026/06/23/sandisk-plunges-11-micron-and-western-digital-slide-10-as-korean-market-crash-hits-memory-chips/)).",YTD +613.41%; 1M +23.53%; Q3 revenue beat; datacenter growth 645% YoY,,,,,
WDC,Western Digital,AI,memory,NASDAQ,675.39,-6.70%,-5.16%,+28.77%,+260.09%,+914%,176.398,2.2,40.35,8.09,11690257,66433057,200303857,9.0,10.43,buy,1.56,-6.7,93.3,-6.7,933.0,-67.0,9330.0,-670.0,-5.16,94.84,-5.16,948.4,-51.6,9484.0,-516.0,28.77,128.77,28.77,1287.7,287.7,12877.0,2877.0,260.09,360.09,260.09,3600.9,2600.9,36009.0,26009.0,914.0,1014.0,914.0,10140.0,9140.0,101400.0,91400.0,"Sandisk, Western Digital, and others soar as Micron results  'justify elevated valuations'",Yahoo Finance,2026-06-25,0.0,"Microsoft stock tumbles, Micron sparks memory chip rally, Qualcomm's data center venture",Yahoo Finance Video,2026-06-25,0.0,"AI boom keeps memory chip makers in sweet spot, says expert",Reuters Videos,2026-06-25,0.459,7,strong_buy,1.0,Up +257.62% YTD and +27.88% in the last month with a buy analyst consensus and neutral news sentiment; the -8.53% 1D drop follows sector-wide Korea-led selling but the 1W gain of +2.63% shows relative strength.,YTD +257.62%; 1M +27.88%; 1W +2.63%; buy consensus,,,,,
285A,Kioxia Holdings,AI,memory,TSE,103850.0,+10.88%,+7.17%,+58.67%,+814.98%,+3556%,266.291,,103.09,36.24,29128700,181844200,912899100,,,buy,1.62,10.88,110.88,10.88,1108.8,108.8,11088.0,1088.0,7.17,107.17,7.17,1071.7,71.7,10717.0,717.0,58.67,158.67,58.67,1586.7,586.7,15867.0,5867.0,814.98,914.98,814.98,9149.8,8149.8,91498.0,81498.0,3556.0,3656.0,3556.0,36560.0,35560.0,365600.0,355600.0,Micron Jumps 267% as It Sees Memory Shortages Beyond 2027,GuruFocus.com,2026-06-25,-0.153,Japan's Nikkei Hits Record High After Micron's Blockbuster Results Soothe Investor Concerns,Barrons.com,2026-06-25,0.751,Kioxia Stock Surges 700% as AI Chip Demand Drives Profit Growth,GuruFocus.com,2026-06-24,0.612,5,strong_buy,1.0,"YTD surge of +714.98% and a 1-month return of +41.33% despite a high P/E of 91.95; the 1D move of +0.42% avoided the worst of Tuesday's memory selloff, supported by positive news sentiment of 0.164.",YTD +714.98%; 1M +41.33%; news sentiment +0.164; avoided major selloff,,,,,
MU,Micron Technology,AI,memory,NASDAQ,1213.56,-0.03%,+16.33%,+35.46%,+284.91%,+732%,1037.023,2.173,27.43,51.1,79552392,326514692,1272270192,6.0,3.34,strong_buy,1.49,-0.03,99.97,-0.03,999.7,-0.3,9997.0,-3.0,16.33,116.33,16.33,1163.3,163.3,11633.0,1633.0,35.46,135.46,35.46,1354.6,354.6,13546.0,3546.0,284.91,384.91,284.91,3849.1,2849.1,38491.0,28491.0,732.0,832.0,732.0,8320.0,7320.0,83200.0,73200.0,"Sandisk, Western Digital, and others soar as Micron results  'justify elevated valuations'",Yahoo Finance,2026-06-25,0.0,Big Tech stocks tumble while Micron continues to gain on Q3 earnings,Yahoo Finance Video,2026-06-25,0.527,Micron stock soars after blowout earnings expose AI's memory bottleneck,Yahoo Finance,2026-06-24,-0.153,6,strong_buy,1.0,"Up +852% over 1 year and +233.59% YTD, with a strong_buy analyst consensus (score 1.49) and a reasonable P/E of 49.75; the -14.52% 1D drop is a sharp pullback but driven by Korea leveraged ETF contagion, not fundamentals, and Dan Ives calls it a 'gut check moment' with Micron earnings the next catalyst ([fool.com](https://www.fool.com/investing/2026/06/23/why-micron-stock-suddenly-crashed/), [benzinga.com](https://www.benzinga.com/markets/equities/26/06/60062350/dan-ives-says-ai-revolution-is-in-the-third-inning-calls-chip-sell-off-a-gut-check-moment)).",1Y +852%; strong_buy consensus; P/E 49.75; earnings catalyst ahead,,,,,
STX,Seagate Technology,AI,memory,NASDAQ,1025.36,-5.99%,-3.75%,+21.32%,+257.47%,+606%,175.788,2.083,97.38,4.12,5494424,30265824,91170424,30.0,4.58,buy,1.54,-5.99,94.01,-5.99,940.1,-59.9,9401.0,-599.0,-3.75,96.25,-3.75,962.5,-37.5,9625.0,-375.0,21.32,121.32,21.32,1213.2,213.2,12132.0,2132.0,257.47,357.47,257.47,3574.7,2574.7,35747.0,25747.0,606.0,706.0,606.0,7060.0,6060.0,70600.0,60600.0,Western Digital Stock And Seagate Get Boost From Big Micron Earnings Beat,Investor's Business Daily,2026-06-25,0.402,"Nvidia, Qualcomm, Apple, Wendy’s, and More Stocks That Explain Today’s Market",Barrons.com,2026-06-25,0.0,Micron's 19% Rally Sends AI Chip Stocks Surging,GuruFocus.com,2026-06-25,0.0,9,strong_buy,1.0,"YTD return of +261.83% and a 1-month gain of +22.80% with strong news sentiment (+0.141) and a buy consensus; the -5.04% 1D dip is modest relative to peers, and the 1W gain of +1.94% shows relative resilience.",YTD +261.83%; 1M +22.80%; news sentiment +0.141; 1W +1.94%,,,,,
MRVL,Marvell Technology,AI,memory,NASDAQ,281.26,-3.35%,-2.86%,+35.05%,+215.03%,+246%,186.439,2.277,96.65,42.18,38774186,421097186,1544078386,9.0,4.71,strong_buy,1.45,-3.35,96.65,-3.35,966.5,-33.5,9665.0,-335.0,-2.86,97.14,-2.86,971.4,-28.6,9714.0,-286.0,35.05,135.05,35.05,1350.5,350.5,13505.0,3505.0,215.03,315.03,215.03,3150.3,2150.3,31503.0,21503.0,246.0,346.0,246.0,3460.0,2460.0,34600.0,24600.0,"Sandisk, Western Digital, and others soar as Micron results  'justify elevated valuations'",Yahoo Finance,2026-06-25,0.0,"Battle of the Artificial Intelligence (AI) Computing Companies: Is AMD, Broadcom, Nvidia, or Marvell the Best Stock to Buy Now?",Motley Fool,2026-06-25,0.691,Marvell Technology Has Trillion-Dollar Potential. Here Is How Soon It Could Arrive.,Motley Fool,2026-06-25,0.0,10,strong_buy,1.0,"1-year return of +305% and YTD +212.54% with a strong_buy consensus (score 1.45); the -8.08% 1D drop reflects broad AI spending fears, but the 1M gain of +33.99% underscores strong underlying demand for data infrastructure.",1Y +305%; YTD +212.54%; 1M +33.99%; strong_buy consensus,,,,,
P,Everpure,AI,memory,NYSE,71.69,-4.31%,-1.35%,-18.86%,+3.88%,+31%,18.057,1.445,108.62,3.31,1802471,17677571,92089271,,4.16,buy,1.9,-4.31,95.69,-4.31,956.9,-43.1,9569.0,-431.0,-1.35,98.65,-1.35,986.5,-13.5,9865.0,-135.0,-18.86,81.14,-18.86,811.4,-188.6,8114.0,-1886.0,3.88,103.88,3.88,1038.8,38.8,10388.0,388.0,31.0,131.0,31.0,1310.0,310.0,13100.0,3100.0,"Is Corpay, Inc. (CPAY) Outperforming Other Business Services Stocks This Year?",Zacks,2026-06-23,0.0,Everpure (P) Stock After Recent Pullback Is The Rally Running Out Of Steam,Simply Wall St.,2026-06-22,0.0,Everpure (P) Launches AI Data Platforms To Recast Its Enterprise Role,Simply Wall St.,2026-06-22,0.0,,,,,,,,,,
RR.,Rolls-Royce Holdings,AI,nuclear-ops,LSE,1432.0,+0.90%,+1.59%,+13.54%,+19.64%,+52%,1.187,1.22,20.75,34.42,35669489,220293733,758515445,67.0,,buy,1.6,0.9,100.9,0.9,1009.0,9.0,10090.0,90.0,1.59,101.59,1.59,1015.9,15.9,10159.0,159.0,13.54,113.54,13.54,1135.4,135.4,11354.0,1354.0,19.64,119.64,19.64,1196.4,196.4,11964.0,1964.0,52.0,152.0,52.0,1520.0,520.0,15200.0,5200.0,AirAsia Shares Drop 30% as Carrier Seeks Payment Deferrals,GuruFocus.com,2026-06-24,0.026,Is Heico (HEI) Stock Outpacing Its Aerospace Peers This Year?,Zacks,2026-06-24,0.0,The hidden reality behind Britain’s homegrown nuclear age,The Telegraph,2026-06-21,0.0,,,,,,,,,,
CEG,Constellation Energy,AI,nuclear-ops,NASDAQ,268.69,-0.24%,+0.57%,-10.90%,-26.43%,-17%,72.705,1.091,23.32,3.52,2858183,18657783,92454583,64.0,3.6,buy,1.52,-0.24,99.76,-0.24,997.6,-2.4,9976.0,-24.0,0.57,100.57,0.57,1005.7,5.7,10057.0,57.0,-10.9,89.1,-10.9,891.0,-109.0,8910.0,-1090.0,-26.43,73.57,-26.43,735.7,-264.3,7357.0,-2643.0,-17.0,83.0,-17.0,830.0,-170.0,8300.0,-1700.0,Why New CEOs Aren’t Quick Fixes for Sluggish Stocks,Barrons.com,2026-06-25,-0.402,Constellation Energy Corporation (CEG) Among Stocks Expected to Bounce Back According to Analysts,Insider Monkey,2026-06-25,0.273,Annual Global Renewable Energy Investment Could Reach $2.9 Trillion in the Next 5 Years. Here's 1 Top Renewable Energy Stock to Buy.,Motley Fool,2026-06-24,0.625,,,,,,,,,,
VST,Vistra Corp,AI,nuclear-ops,NYSE,167.77,+1.81%,+5.78%,+2.09%,+1.82%,-14%,42.865,1.405,28.06,4.66,3572919,24098419,100452719,56.0,5.39,strong_buy,1.4,1.81,101.81,1.81,1018.1,18.1,10181.0,181.0,5.78,105.78,5.78,1057.8,57.8,10578.0,578.0,2.09,102.09,2.09,1020.9,20.9,10209.0,209.0,1.82,101.82,1.82,1018.2,18.2,10182.0,182.0,-14.0,86.0,-14.0,860.0,-140.0,8600.0,-1400.0,Vistra Corp. (VST) Is a Trending Stock: Facts to Know Before Betting on It,Zacks,2026-06-24,0.0,Vistra Corp. (VST) Advances While Market Declines: Some Information for Investors,Zacks,2026-06-22,0.0,Here is Why Vistra (VST) is Among the Best Electrical Infrastructure Stocks to Buy in 2026,Insider Monkey,2026-06-22,0.637,,,,,,,,,,
