ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_usd_b,beta,pe_ratio,avg_volume_m,vol_1d,vol_1w,vol_1m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
SNDK,SanDisk Corporation,AI,memory,NASDAQ,1536.87,-0.89%,+3.79%,+19.32%,+458.37%,+2968%,225.027,,20.83,13.98,11580091,60923191,310355391,,8.24,buy,1.54,-0.89,99.11,-0.89,991.1,-8.9,9911.0,-89.0,3.79,103.79,3.79,1037.9,37.9,10379.0,379.0,19.32,119.32,19.32,1193.2,193.2,11932.0,1932.0,458.37,558.37,458.37,5583.7,4583.7,55837.0,45837.0,2968.0,3068.0,2968.0,30680.0,29680.0,306800.0,296800.0,"Stock Market Today: Nasdaq Ends Lower As Oil Prices Top $90; Micron, Nvidia Shares Wrapped in Red",Investor's Business Daily,2026-09-01,0.202,"Down More Than 30% From Its Peak, Is Now the Perfect Time to Buy Sandisk Stock?",Motley Fool,2026-09-01,0.572,"Tesla, Apple, Nvidia, Medtronic, Alumis, Robinhood, Fervo, and More Stocks That Explain Today’s Market",Barrons.com,2026-09-01,0.0,1,strong_buy,1.0,"SNDK surged 15% on investor day guiding 80% gross margins through 2030, with $93.9B in long-term supply agreements. +24.55% 1M, P/E 20.51, analyst buy, but news sentiment -0.026; forward P/E ~7.5 offers deep value.",+24.55% 1M momentum; 80% gross margin guidance; $93.9B supply agreements; forward P/E ~7.5,,,,,
WDC,Western Digital,AI,memory,NASDAQ,450.44,-0.07%,-0.07%,-14.56%,+140.16%,+450%,162.401,2.217,16.74,8.51,5475779,28424679,167847979,13.0,6.31,buy,1.54,-0.07,99.93,-0.07,999.3,-0.7,9993.0,-7.0,-0.07,99.93,-0.07,999.3,-0.7,9993.0,-7.0,-14.56,85.44,-14.56,854.4,-145.6,8544.0,-1456.0,140.16,240.16,140.16,2401.6,1401.6,24016.0,14016.0,450.0,550.0,450.0,5500.0,4500.0,55000.0,45000.0,Seagate's YTD Gains are Double the Industry: Is the Stock Still a Buy?,Zacks,2026-09-01,0.34,Micron Is No Longer What It Was So I Keep Loading Up,24/7 Wall St.,2026-09-01,-0.296,Will Quantum's Cost Discipline Keep Margins on an Upward Trajectory?,Zacks,2026-09-01,0.0,,,,,,,,,,
285A,Kioxia Holdings,AI,memory,TSE,318.4,+3.45%,-0.51%,+3.74%,+349.34%,+1811%,174.244,,50.51,42.52,29654100,161574400,877017100,,,buy,1.56,3.45,103.45,3.45,1034.5,34.5,10345.0,345.0,-0.51,99.49,-0.51,994.9,-5.1,9949.0,-51.0,3.74,103.74,3.74,1037.4,37.4,10374.0,374.0,349.34,449.34,349.34,4493.4,3493.4,44934.0,34934.0,1811.0,1911.0,1811.0,19110.0,18110.0,191100.0,181100.0,Elite Japanese Blue Chip Stocks To Own In September 2026,Simply Wall St.,2026-09-01,0.0,3 Tech Hardware Stocks Built To Handle Higher Rates And Grow Earnings,Simply Wall St.,2026-08-29,0.0,"Nvidia, Micron, Salesforce, Marvell, Veeva, Okta, Hormel, and More Stocks That Explain Today’s Market",Barrons.com,2026-08-27,0.0,,,,,,,,,,
MU,Micron Technology,AI,memory,NASDAQ,933.44,-2.35%,+0.05%,+12.53%,+196.11%,+709%,1054.22,2.213,21.12,44.98,27573310,120593110,658249110,6.0,2.66,strong_buy,1.36,-2.35,97.65,-2.35,976.5,-23.5,9765.0,-235.0,0.05,100.05,0.05,1000.5,0.5,10005.0,5.0,12.53,112.53,12.53,1125.3,125.3,11253.0,1253.0,196.11,296.11,196.11,2961.1,1961.1,29611.0,19611.0,709.0,809.0,709.0,8090.0,7090.0,80900.0,70900.0,"Stock Market Today: Nasdaq Ends Lower As Oil Prices Top $90; Micron, Nvidia Shares Wrapped in Red",Investor's Business Daily,2026-09-01,0.202,"Micron Stock Drops as Nearly 10,000 Taiwan Workers Push for Strike",GuruFocus.com,2026-09-01,-0.128,"Prediction: This Could Be Micron's Stock Price by the End of 2027 (Hint: It's Above $2,000)",Motley Fool,2026-09-01,0.0,2,strong_buy,0.8,"MU +14.21% 1M, P/E 21.25, strong_buy analyst consensus, low short 2.66%. Nvidia doubled memory purchases, providing strong demand visibility.",+14.21% 1M; P/E 21.25; strong_buy consensus; Nvidia memory demand,,,,,
STX,Seagate Technology,AI,memory,NASDAQ,816.64,-1.50%,-0.61%,-1.74%,+184.71%,+386%,185.377,2.102,58.67,4.75,2345471,15627671,90326371,36.0,4.12,strong_buy,1.44,-1.5,98.5,-1.5,985.0,-15.0,9850.0,-150.0,-0.61,99.39,-0.61,993.9,-6.1,9939.0,-61.0,-1.74,98.26,-1.74,982.6,-17.4,9826.0,-174.0,184.71,284.71,184.71,2847.1,1847.1,28471.0,18471.0,386.0,486.0,386.0,4860.0,3860.0,48600.0,38600.0,Seagate's YTD Gains are Double the Industry: Is the Stock Still a Buy?,Zacks,2026-09-01,0.34,Will Quantum's Cost Discipline Keep Margins on an Upward Trajectory?,Zacks,2026-09-01,0.0,Forget Nvidia. This AI Stock Is Selling the Storage Behind the Boom,24/7 Wall St.,2026-09-01,-0.226,,,,,,,,,,
MRVL,Marvell Technology,AI,memory,NASDAQ,210.39,-0.56%,-12.48%,+8.57%,+135.71%,+228%,189.078,2.246,69.44,40.11,21100940,151853340,541277540,11.0,3.79,strong_buy,1.41,-0.56,99.44,-0.56,994.4,-5.6,9944.0,-56.0,-12.48,87.52,-12.48,875.2,-124.8,8752.0,-1248.0,8.57,108.57,8.57,1085.7,85.7,10857.0,857.0,135.71,235.71,135.71,2357.1,1357.1,23571.0,13571.0,228.0,328.0,228.0,3280.0,2280.0,32800.0,22800.0,Nvidia makes its biggest investment abroad with Mediatek: Why it's a uniquely important deal,Yahoo Finance Video,2026-09-01,0.202,"Tesla, Apple, Nvidia, Medtronic, Alumis, Robinhood, Fervo, and More Stocks That Explain Today’s Market",Barrons.com,2026-09-01,0.0,Marvell’s $120B AI deal came with an unexpected catch,TheStreet,2026-09-01,0.0,6,strong_buy,0.952,"MRVL +12.66% 1M, strong_buy analyst, P/E 70.2, news sentiment neutral. Beneficiary of AI networking expansion.",+12.66% 1M; strong_buy consensus; AI networking; P/E 70.2,,,,,
P,Everpure,AI,memory,NYSE,93.78,+0.84%,-8.78%,+17.02%,+35.89%,+20%,31.173,1.414,128.47,3.12,2600141,21967441,78164841,,3.73,buy,1.55,0.84,100.84,0.84,1008.4,8.4,10084.0,84.0,-8.78,91.22,-8.78,912.2,-87.8,9122.0,-878.0,17.02,117.02,17.02,1170.2,170.2,11702.0,1702.0,35.89,135.89,35.89,1358.9,358.9,13589.0,3589.0,20.0,120.0,20.0,1200.0,200.0,12000.0,2000.0,Here's Why Investors Must Hold Everpure Stock in Their Portfolios Now,Zacks,2026-09-01,0.0,Everpure (P) Q2 2027 Earnings Call Transcript,Motley Fool,2026-08-31,0.0,Why Everpure Stock Plummeted This Week,Motley Fool,2026-08-30,0.0,9,buy,0.45,"P +19.87% 1M, analyst buy, news sentiment 0.201, but P/E 126.72. Memory-related play with strong momentum.",+19.87% 1M; analyst buy; news sentiment 0.201; memory sector,,,,,
RR.,Rolls-Royce Holdings,AI,nuclear-ops,LSE,19.72,-4.64%,-2.73%,-3.16%,+21.91%,+43%,1.627,1.19,40.53,23.01,21701688,81753236,411698053,78.0,,buy,1.6,-4.64,95.36,-4.64,953.6,-46.4,9536.0,-464.0,-2.73,97.27,-2.73,972.7,-27.3,9727.0,-273.0,-3.16,96.84,-3.16,968.4,-31.6,9684.0,-316.0,21.91,121.91,21.91,1219.1,219.1,12191.0,2191.0,43.0,143.0,43.0,1430.0,430.0,14300.0,4300.0,European Equities Largely Lower Though AI Stocks Gain,The Wall Street Journal,2026-09-01,0.296,Rolls-Royce expands Indiana manufacturing with $1B investment,Manufacturing Dive,2026-08-31,0.103,Are Aerospace Stocks Lagging  RTX Corporation (RTX) This Year?,Zacks,2026-08-28,-0.273,,,,,,,,,,
CEG,Constellation Energy,AI,nuclear-ops,NASDAQ,280.31,+1.73%,+0.68%,+2.57%,-23.13%,-11%,99.316,1.118,27.43,3.24,2395104,10454504,56819004,62.0,2.97,buy,1.55,1.73,101.73,1.73,1017.3,17.3,10173.0,173.0,0.68,100.68,0.68,1006.8,6.8,10068.0,68.0,2.57,102.57,2.57,1025.7,25.7,10257.0,257.0,-23.13,76.87,-23.13,768.7,-231.3,7687.0,-2313.0,-11.0,89.0,-11.0,890.0,-110.0,8900.0,-1100.0,Can Rising C&I Demand Drive Constellation Energy's Long-Term Growth?,Zacks,2026-09-01,0.273,"Vistra Stock Is Down, But Is This Power Producer's Dip An Opportunity?",Trefis,2026-09-01,0.572,Constellation Energy vs. NextEra Energy: Which Utilities Stock Is a Better Investment in 2026?,Motley Fool,2026-08-31,0.727,,,,,,,,,,
VST,Vistra Corp,AI,nuclear-ops,NYSE,138.08,-0.24%,-0.68%,-11.45%,-16.20%,-26%,46.345,1.433,23.28,4.35,4254879,17870279,100029479,67.0,3.32,strong_buy,1.35,-0.24,99.76,-0.24,997.6,-2.4,9976.0,-24.0,-0.68,99.32,-0.68,993.2,-6.8,9932.0,-68.0,-11.45,88.55,-11.45,885.5,-114.5,8855.0,-1145.0,-16.2,83.8,-16.2,838.0,-162.0,8380.0,-1620.0,-26.0,74.0,-26.0,740.0,-260.0,7400.0,-2600.0,Can Rising C&I Demand Drive Constellation Energy's Long-Term Growth?,Zacks,2026-09-01,0.273,"Vistra CEO James Burke Buys 2,000 Shares After 29% Stock Decline",Motley Fool,2026-09-01,0.296,"Vistra Stock Is Down, But Is This Power Producer's Dip An Opportunity?",Trefis,2026-09-01,0.572,,,,,,,,,,
