ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_gbp_b,beta,pe_ratio,avg_volume_m,vol_1d,vol_1w,vol_1m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
SNDK,SanDisk Corporation,AI,memory,NASDAQ,2273.73,+2.92%,+14.83%,+43.04%,+726.09%,+4553%,254.113,,77.65,14.59,9879098,49984798,204979498,,9.71,buy,1.59,2.92,102.92,2.92,1029.2,29.2,10292.0,292.0,14.83,114.83,14.83,1148.3,148.3,11483.0,1483.0,43.04,143.04,43.04,1430.4,430.4,14304.0,4304.0,726.09,826.09,726.09,8260.9,7260.9,82609.0,72609.0,4553.0,4653.0,4553.0,46530.0,45530.0,465300.0,455300.0,"Micron stock hits an all-time high, thanks to the new Anthropic deal",Yahoo Finance Video,2026-06-22,0.44,"SK Hynix soars to new heights, becomes South Korea's most valuable company",Yahoo Finance Video,2026-06-22,0.526,Why Micron (MU) Stock Is Up Today,StockStory,2026-06-22,0.0,4,strong_buy,1.0,"SNDK has exploded +693.76% YTD and +57.94% 1M on a NAND flash shortage, with CEO commentary at Mizuho about data center becoming its largest market; however, extreme overbought conditions (beta 3.45, high short interest 9.71%) warrant caution.",+693.76% YTD; NAND shortage; data center pivot; high short interest,,,,,
WDC,Western Digital,AI,memory,NASDAQ,732.62,-2.85%,+30.14%,+39.68%,+290.60%,+1136%,190.573,2.2,43.82,7.86,12936250,68572250,163490950,8.0,10.43,buy,1.56,-2.85,97.15,-2.85,971.5,-28.5,9715.0,-285.0,30.14,130.14,30.14,1301.4,301.4,13014.0,3014.0,39.68,139.68,39.68,1396.8,396.8,13968.0,3968.0,290.6,390.6,290.6,3906.0,2906.0,39060.0,29060.0,1136.0,1236.0,1136.0,12360.0,11360.0,123600.0,113600.0,"SK Hynix soars to new heights, becomes South Korea's most valuable company",Yahoo Finance Video,2026-06-22,0.526,Why Micron (MU) Stock Is Up Today,StockStory,2026-06-22,0.0,"Micron and Western Digital Rise 6%, SanDisk Gains 5% as Memory Stocks Rally Into Micron’s Earnings",24/7 Wall St.,2026-06-22,0.34,1,strong_buy,1.0,"Momentum is extreme (+63.76% 1M, +297.86% YTD) with an 8% dividend yield, positive news sentiment of 0.213, and a strong analyst score of 1.56; web search confirms [Motley Fool](https://www.fool.com/investing/2026/06/21/dont-forget-about-western-digital-amid-sandisk-euphoria/) highlights WDC as a beneficiary of AI storage demand with 45% YoY revenue growth.",+63.76% 1M; 8% dividend yield; +297.86% YTD; AI storage demand,,,,,
285A,Kioxia Holdings,AI,memory,TSE,108700.0,+4.37%,+19.57%,+89.37%,+857.71%,+4152%,277.198,,107.53,36.34,23790200,153629600,815075900,,,buy,1.62,4.37,104.37,4.37,1043.7,43.7,10437.0,437.0,19.57,119.57,19.57,1195.7,195.7,11957.0,1957.0,89.37,189.37,89.37,1893.7,893.7,18937.0,8937.0,857.71,957.71,857.71,9577.1,8577.1,95771.0,85771.0,4152.0,4252.0,4152.0,42520.0,41520.0,425200.0,415200.0,Japan's Nikkei Soars to Record High,Barrons.com,2026-06-15,0.0,Kioxia Becomes Japan’s Most Valuable Firm as AI Mania Goes On,Bloomberg,2026-06-12,0.526,Chip Stocks Rebound Amid Dip Buying,Barrons.com,2026-06-09,0.0,3,strong_buy,1.0,"The stock posted the highest YTD return (+857.71%) and 1M gain (+89.37%) among all names, with a buy analyst rating and 0.164 news sentiment; this Japan memory stock is riding the AI semiconductor wave alongside peers.",+857.71% YTD; +89.37% 1M; buy consensus; AI memory theme,,,,,
MU,Micron Technology,AI,memory,NASDAQ,1211.38,+5.16%,+23.41%,+35.22%,+284.21%,+829%,1030.979,2.173,57.11,50.69,47957880,249243980,1058355880,5.0,3.34,strong_buy,1.48,5.16,105.16,5.16,1051.6,51.6,10516.0,516.0,23.41,123.41,23.41,1234.1,234.1,12341.0,2341.0,35.22,135.22,35.22,1352.2,352.2,13522.0,3522.0,284.21,384.21,284.21,3842.1,2842.1,38421.0,28421.0,829.0,929.0,829.0,9290.0,8290.0,92900.0,82900.0,Memory's price surge threatens Apple's 'magic formula' — and the economy: WSJ reporter,Yahoo Finance Video,2026-06-22,-0.382,Tech stocks live: Tech stocks mixed ahead of Micron earnings Wednesday,Yahoo Finance,2026-06-22,0.0,"Tech stocks today: Uber and Lucid expanding in Houston,  Intel's latest chip moves",Yahoo Finance,2026-06-15,0.0,2,strong_buy,1.0,"Analyst consensus is strong_buy with a top score of 1.48, and the stock has surged +62.29% 1M and +259.67% YTD; Micron's upcoming earnings on June 24 are cited as a key catalyst in web results, with all three major firms raising price targets.",strong_buy consensus; +62.29% 1M; $967.9B market cap; earnings catalyst,,,,,
STX,Seagate Technology,AI,memory,NASDAQ,1094.04,+1.70%,+17.51%,+29.36%,+281.15%,+704%,186.805,2.083,104.29,4.04,5333155,29929155,74662255,28.0,4.58,buy,1.54,1.7,101.7,1.7,1017.0,17.0,10170.0,170.0,17.51,117.51,17.51,1175.1,175.1,11751.0,1751.0,29.36,129.36,29.36,1293.6,293.6,12936.0,2936.0,281.15,381.15,281.15,3811.5,2811.5,38115.0,28115.0,704.0,804.0,704.0,8040.0,7040.0,80400.0,70400.0,"Buy, Hold, or Sell: Wall Street Fears Tech Compression, but This AI Storage Monster Has a Hidden Weapon",24/7 Wall St.,2026-06-22,-0.572,Best Stocks to Buy Now,Kiplinger,2026-06-22,0.637,The Billionaire Who Called the 2008 Bubble Just Dumped Google to Buy These 5 AI Hardware Stocks,24/7 Wall St.,2026-06-22,-0.402,6,strong_buy,1.0,"STX has strong momentum (+45.94% 1M, +272.85% YTD) with an 28% dividend yield and a buy analyst rating (score 1.54); web search notes retail sentiment bullish and a 55% rally in six sessions for peer WDC, indicating memory sector strength.",+45.94% 1M; 28% dividend yield; buoyant memory sector; buy consensus,,,,,
MRVL,Marvell Technology,AI,memory,NASDAQ,307.86,-1.80%,+10.07%,+47.82%,+244.82%,+339%,203.247,2.277,105.43,40.88,46596718,462358318,1420567318,8.0,4.71,strong_buy,1.45,-1.8,98.2,-1.8,982.0,-18.0,9820.0,-180.0,10.07,110.07,10.07,1100.7,100.7,11007.0,1007.0,47.82,147.82,47.82,1478.2,478.2,14782.0,4782.0,244.82,344.82,244.82,3448.2,2448.2,34482.0,24482.0,339.0,439.0,339.0,4390.0,3390.0,43900.0,33900.0,Beyond the Mag 7: Finding the Real Winners of the AI Boom,Zacks,2026-06-22,0.477,The Real Price Of Admission For Broadcom Stock,Trefis,2026-06-22,0.0,Marvell Technology vs. Semtech: Which Technology Stock Is a Better Buy in 2026?,Motley Fool,2026-06-22,0.44,5,strong_buy,1.0,"MRVL shows a strong_buy analyst consensus (score 1.45), impressive momentum (+76.20% 1M, +247.87% YTD), and positive news sentiment 0.149; it recently hit 52-week highs and is a key beneficiary of AI infrastructure buildout.",strong_buy consensus; +76.20% 1M; +247.87% YTD; 52-week high,,,,,
P,Everpure,AI,memory,NYSE,77.04,+3.45%,+6.54%,-12.80%,+11.64%,+40%,19.326,1.445,116.73,3.27,3253976,18997876,85188576,,4.16,buy,1.9,3.45,103.45,3.45,1034.5,34.5,10345.0,345.0,6.54,106.54,6.54,1065.4,65.4,10654.0,654.0,-12.8,87.2,-12.8,872.0,-128.0,8720.0,-1280.0,11.64,111.64,11.64,1116.4,116.4,11164.0,1164.0,40.0,140.0,40.0,1400.0,400.0,14000.0,4000.0,Everpure (P) Launches AI Data Platforms To Recast Its Enterprise Role,Simply Wall St.,2026-06-22,0.0,Buyouts & Liquidity Aid ICF International Amid Elevated Cost Structure,Zacks,2026-06-22,0.0,How Investors Are Reacting To Everpure (P) Deepening Veeam Alliance For AI-Era Data Resilience,Simply Wall St.,2026-06-22,0.0,,,,,,,,,,
RR.,Rolls-Royce Holdings,AI,nuclear-ops,LSE,1411.8,+0.26%,+3.93%,+13.05%,+17.95%,+59%,1.17,1.22,20.46,33.98,43032619,129604487,636463509,67.0,,buy,1.6,0.26,100.26,0.26,1002.6,2.6,10026.0,26.0,3.93,103.93,3.93,1039.3,39.3,10393.0,393.0,13.05,113.05,13.05,1130.5,130.5,11305.0,1305.0,17.95,117.95,17.95,1179.5,179.5,11795.0,1795.0,59.0,159.0,59.0,1590.0,590.0,15900.0,5900.0,The hidden reality behind Britain’s homegrown nuclear age,The Telegraph,2026-06-21,0.0,How to Invest in the Biggest European Defense Surge in Decades,MarketBeat,2026-06-19,0.128,BMW warns of ‘significant’ profit decline as shares fall 7%,Euronews,2026-06-17,0.572,,,,,,,,,,
CEG,Constellation Energy,AI,nuclear-ops,NASDAQ,275.53,+0.29%,+8.58%,-8.63%,-24.55%,-13%,74.255,1.091,23.94,3.5,2735704,20709304,83518504,62.0,3.6,buy,1.52,0.29,100.29,0.29,1002.9,2.9,10029.0,29.0,8.58,108.58,8.58,1085.8,85.8,10858.0,858.0,-8.63,91.37,-8.63,913.7,-86.3,9137.0,-863.0,-24.55,75.45,-24.55,754.5,-245.5,7545.0,-2455.0,-13.0,87.0,-13.0,870.0,-130.0,8700.0,-1300.0,Constellation Energy (CEG) Initiated with a Bullish View at Bernstein. Here is Why,Insider Monkey,2026-06-22,0.273,Will CEG's Integrated Clean Power Assets Sustain Its Long-term Growth?,Zacks,2026-06-22,0.718,Wells Fargo Remains a Buy on Constellation Energy (CEG),Insider Monkey,2026-06-22,0.477,,,,,,,,,,
VST,Vistra Corp,AI,nuclear-ops,NYSE,167.26,+2.28%,+13.00%,+1.64%,+1.37%,-12%,42.562,1.405,27.97,4.66,4939744,26804544,89270344,56.0,5.39,strong_buy,1.4,2.28,102.28,2.28,1022.8,22.8,10228.0,228.0,13.0,113.0,13.0,1130.0,130.0,11300.0,1300.0,1.64,101.64,1.64,1016.4,16.4,10164.0,164.0,1.37,101.37,1.37,1013.7,13.7,10137.0,137.0,-12.0,88.0,-12.0,880.0,-120.0,8800.0,-1200.0,Here is Why Vistra (VST) is Among the Best Electrical Infrastructure Stocks to Buy in 2026,Insider Monkey,2026-06-22,0.637,Seaport Research Raises its Price Target on Vistra Corp. (VST),Insider Monkey,2026-06-22,0.0,Jim Cramer on Vistra (VST): “It’s Just Fallen Enough”,Insider Monkey,2026-06-21,-0.361,,,,,,,,,,
TLN,Talen Energy,AI,nuclear-ops,NASDAQ,438.12,+0.95%,+21.52%,+12.63%,+10.43%,+50%,15.803,1.604,,0.74,826696,6441396,16694396,,5.58,strong_buy,1.5,0.95,100.95,0.95,1009.5,9.5,10095.0,95.0,21.52,121.52,21.52,1215.2,215.2,12152.0,2152.0,12.63,112.63,12.63,1126.3,126.3,11263.0,1263.0,10.43,110.43,10.43,1104.3,104.3,11043.0,1043.0,50.0,150.0,50.0,1500.0,500.0,15000.0,5000.0,"Nuclear Stocks Oklo, Centrus Jump After Signing Uranium Deal",Investor's Business Daily,2026-06-18,0.0,Stocks Supported as Geopolitical Risks Recede,Barchart,2026-06-18,0.052,"Goldman starts Talen at buy, sees PJM power tightness boosting earnings",Investing.com,2026-06-18,0.34,10,strong_buy,0.75,"TLN has a strong_buy analyst rating (score 1.5) with exceptional 1M (+38.69%) and 1W (+26.53%) momentum; news sentiment is 0.227, and the stock surged after signing a uranium deal, aligning with the nuclear power theme for AI.",strong_buy consensus; +38.69% 1M; nuclear uranium deal; AI power demand,,,,,
