ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_usd_b,beta,pe_ratio,avg_volume_m,vol_1d,vol_1w,vol_1m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
SNDK,SanDisk Corporation,AI,memory,NASDAQ,2032.22,-9.56%,+6.15%,+18.40%,+638.34%,+4820%,300.951,,69.29,13.69,10836496,65439096,242055896,,11.5,buy,1.59,-9.56,90.44,-9.56,904.4,-95.6,9044.0,-956.0,6.15,106.15,6.15,1061.5,61.5,10615.0,615.0,18.4,118.4,18.4,1184.0,184.0,11840.0,1840.0,638.34,738.34,638.34,7383.4,6383.4,73834.0,63834.0,4820.0,4920.0,4820.0,49200.0,48200.0,492000.0,482000.0,Why investors should 'complement' their SpaceX ETFs with these other themes,Yahoo Finance Video,2026-07-01,0.0,What's next for AI and Big Tech in the second half of 2026?,Yahoo Finance Video,2026-07-01,0.0,"Stock Market Today, July 1: Meta Shakes Up Cloud Sector and Tech Stocks Weigh on Markets",Motley Fool,2026-07-01,0.0,1,strong_buy,1.0,"SNDK surged 726% YTD and 10.3% today after Bernstein raised its target to $3,000, citing structural LTAs that reduce cyclicality; P/E 77.5, news sentiment +0.264.","+726% YTD; Bernstein $3,000 target; LTA structural shift; news_s 0.264",,,,,
WDC,Western Digital,AI,memory,NASDAQ,598.37,-6.92%,-7.06%,+6.29%,+219.03%,+871%,206.247,2.2,35.77,8.36,7778844,63447044,217617744,9.0,8.66,strong_buy,1.5,-6.92,93.08,-6.92,930.8,-69.2,9308.0,-692.0,-7.06,92.94,-7.06,929.4,-70.6,9294.0,-706.0,6.29,106.29,6.29,1062.9,62.9,10629.0,629.0,219.03,319.03,219.03,3190.3,2190.3,31903.0,21903.0,871.0,971.0,871.0,9710.0,8710.0,97100.0,87100.0,Why investors should 'complement' their SpaceX ETFs with these other themes,Yahoo Finance Video,2026-07-01,0.0,"Memory Prices Rose Again, but Micron Stock Is Slumping Hard",Barrons.com,2026-07-01,-0.153,"Meta AI Cloud Push Sends Nvidia, AMD, Intel, Micron Stocks Sinking",GuruFocus.com,2026-07-01,0.0,9,strong_buy,0.966,"WDC is up 241% YTD with P/E 38.3 and buy consensus; recent -4.8% 1W pullback offers entry, supported by memory supercycle and AI demand.",+241% YTD; P/E 38.3; buy consensus; memory supercycle,,,,,
285A,Kioxia Holdings,AI,memory,TSE,542.33,-2.54%,-4.72%,+21.56%,+676.48%,+3618%,296.789,,86.97,36.31,29322300,183467000,867557800,,,buy,1.62,-2.54,97.46,-2.54,974.6,-25.4,9746.0,-254.0,-4.72,95.28,-4.72,952.8,-47.2,9528.0,-472.0,21.56,121.56,21.56,1215.6,215.6,12156.0,2156.0,676.48,776.48,676.48,7764.8,6764.8,77648.0,67648.0,3618.0,3718.0,3618.0,37180.0,36180.0,371800.0,361800.0,BlueBay Sees Near-Term Risk in Japan AI Stocks Followed by Rally,Bloomberg,2026-06-28,-0.273,Apple Price Hikes Spark Asia Tech Selloff on Memory Cost Concern,Bloomberg,2026-06-26,0.226,Micron Jumps 267% as It Sees Memory Shortages Beyond 2027,GuruFocus.com,2026-06-25,-0.153,8,strong_buy,1.0,"285A is up 678% YTD with +21.7% 1M, buy consensus, and news sentiment 0.233; Japan memory stock riding the AI supercycle.",+678% YTD; +21.7% 1M; buy consensus; Japan memory play,,,,,
MU,Micron Technology,AI,memory,NASDAQ,1032.28,-10.73%,-1.55%,-2.99%,+227.41%,+848%,1165.85,2.173,23.35,51.12,50305786,321701686,1208817986,5.0,3.69,strong_buy,1.47,-10.73,89.27,-10.73,892.7,-107.3,8927.0,-1073.0,-1.55,98.45,-1.55,984.5,-15.5,9845.0,-155.0,-2.99,97.01,-2.99,970.1,-29.9,9701.0,-299.0,227.41,327.41,227.41,3274.1,2274.1,32741.0,22741.0,848.0,948.0,848.0,9480.0,8480.0,94800.0,84800.0,Why investors should 'complement' their SpaceX ETFs with these other themes,Yahoo Finance Video,2026-07-01,0.0,Big Tech's first half was a story of hardware versus software,Yahoo Finance,2026-07-01,0.0,"Dow Jones Futures: Meta Jumps But Hits SpaceX, Micron; Tesla, Jobs Report Ahead",Investor's Business Daily,2026-07-01,0.0,2,strong_buy,1.0,"MU has strong_buy consensus, P/E 26.1, +266% YTD, and recent earnings beat with 345% revenue growth; memory supercycle confirmed by analysts.",strong_buy consensus; P/E 26.1; +266% YTD; earnings beat +345% rev,,,,,
STX,Seagate Technology,AI,memory,NASDAQ,915.19,-5.15%,-7.86%,-1.16%,+219.07%,+535%,207.064,2.083,87.0,4.29,3590865,28026165,95599365,31.0,4.27,buy,1.52,-5.15,94.85,-5.15,948.5,-51.5,9485.0,-515.0,-7.86,92.14,-7.86,921.4,-78.6,9214.0,-786.0,-1.16,98.84,-1.16,988.4,-11.6,9884.0,-116.0,219.07,319.07,219.07,3190.7,2190.7,31907.0,21907.0,535.0,635.0,535.0,6350.0,5350.0,63500.0,53500.0,"Memory Prices Rose Again, but Micron Stock Is Slumping Hard",Barrons.com,2026-07-01,-0.153,"Meta AI Cloud Push Sends Nvidia, AMD, Intel, Micron Stocks Sinking",GuruFocus.com,2026-07-01,0.0,Can Sandisk's QLC SSD Portfolio Drive Sustainable Growth Ahead?,Zacks,2026-07-01,0.382,,,,,,,,,,
MRVL,Marvell Technology,AI,memory,NASDAQ,272.05,-8.74%,-1.68%,-6.44%,+204.71%,+301%,237.989,2.277,93.17,42.72,33434689,183821789,1472792789,8.0,5.26,strong_buy,1.45,-8.74,91.26,-8.74,912.6,-87.4,9126.0,-874.0,-1.68,98.32,-1.68,983.2,-16.8,9832.0,-168.0,-6.44,93.56,-6.44,935.6,-64.4,9356.0,-644.0,204.71,304.71,204.71,3047.1,2047.1,30471.0,20471.0,301.0,401.0,301.0,4010.0,3010.0,40100.0,30100.0,"Here’s Why POET Technologies (POET) Has Declined Recently, Wall Street Continues to See Huge Upside",Insider Monkey,2026-07-01,0.318,AMD Stock Falls From Record High—and a $1 Trillion Market Cap Is Suddenly Far Away,Barrons.com,2026-07-01,0.0,Advanced Micro Devices vs Marvell Technology: The Better AI Chip Maker,24/7 Wall St.,2026-07-01,0.599,3,strong_buy,0.938,"MRVL shows strong_buy consensus, +35.8% 1M momentum, and highest news sentiment at 0.442; P/E 102 reflects AI networking demand.",strong_buy consensus; +35.8% 1M; news_s 0.442; AI networking play,,,,,
P,Everpure,AI,memory,NYSE,77.14,-1.73%,+5.96%,-7.04%,+11.78%,+41%,25.642,1.445,116.88,3.39,2099069,16707869,71675469,,3.95,buy,1.9,-1.73,98.27,-1.73,982.7,-17.3,9827.0,-173.0,5.96,105.96,5.96,1059.6,59.6,10596.0,596.0,-7.04,92.96,-7.04,929.6,-70.4,9296.0,-704.0,11.78,111.78,11.78,1117.8,117.8,11178.0,1178.0,41.0,141.0,41.0,1410.0,410.0,14100.0,4100.0,Jana Partners' Strategic Moves: Fiserv Inc. Takes Center Stage with a 7.33% Portfolio Impact,GuruFocus.com,2026-06-30,0.0,"P Stock Jumps 10% On Tuesday— Jana Partners Builds New Activist Stake In Everpure, Says Report",Stocktwits,2026-06-30,0.0,Everpure Stock Jumps After Report Of New Activist Investor,Investor's Business Daily,2026-06-30,0.0,,,,,,,,,,
RR.,Rolls-Royce Holdings,AI,nuclear-ops,LSE,19.4,+1.14%,+2.95%,+14.79%,+22.06%,+53%,1.608,1.22,21.17,33.97,22087159,121568463,681947916,66.0,,buy,1.6,1.14,101.14,1.14,1011.4,11.4,10114.0,114.0,2.95,102.95,2.95,1029.5,29.5,10295.0,295.0,14.79,114.79,14.79,1147.9,147.9,11479.0,1479.0,22.06,122.06,22.06,1220.6,220.6,12206.0,2206.0,53.0,153.0,53.0,1530.0,530.0,15300.0,5300.0,Small-Engine Makers Gain Big Momentum in Data Centers,The Wall Street Journal,2026-07-01,0.527,AirAsia Shares Drop 30% as Carrier Seeks Payment Deferrals,GuruFocus.com,2026-06-24,0.026,Is Heico (HEI) Stock Outpacing Its Aerospace Peers This Year?,Zacks,2026-06-24,0.0,10,buy,0.55,"RR. has +20.7% YTD, P/E 20.9, dividend yield 66, and buy consensus; nuclear operations exposure with steady momentum.",+20.7% YTD; P/E 20.9; dividend yield 66; buy consensus,,,,,
CEG,Constellation Energy,AI,nuclear-ops,NASDAQ,236.5,-5.02%,-11.74%,-13.26%,-35.24%,-19%,84.455,1.091,20.57,3.54,8560026,24163326,90456926,69.0,3.56,buy,1.52,-5.02,94.98,-5.02,949.8,-50.2,9498.0,-502.0,-11.74,88.26,-11.74,882.6,-117.4,8826.0,-1174.0,-13.26,86.74,-13.26,867.4,-132.6,8674.0,-1326.0,-35.24,64.76,-35.24,647.6,-352.4,6476.0,-3524.0,-19.0,81.0,-19.0,810.0,-190.0,8100.0,-1900.0,"Constellation Energy Corporation (CEG) Declines, Here’s What Wall Street Thinks About it",Insider Monkey,2026-07-01,0.273,Why Constellation Energy Stock Is Tumbling Today,Motley Fool,2026-07-01,0.273,NextEra’s Dominion Deal Could Put It at the Center of the AI Power Race,MarketBeat,2026-06-30,0.0,,,,,,,,,,
VST,Vistra Corp,AI,nuclear-ops,NYSE,153.16,-3.65%,-5.96%,-2.91%,-7.05%,-15%,51.643,1.405,25.61,4.62,4532425,20649825,92419025,58.0,5.27,strong_buy,1.4,-3.65,96.35,-3.65,963.5,-36.5,9635.0,-365.0,-5.96,94.04,-5.96,940.4,-59.6,9404.0,-596.0,-2.91,97.09,-2.91,970.9,-29.1,9709.0,-291.0,-7.05,92.95,-7.05,929.5,-70.5,9295.0,-705.0,-15.0,85.0,-15.0,850.0,-150.0,8500.0,-1500.0,Vistra Corp. (VST) Stock Slides as Market Rises: Facts to Know Before You Trade,Zacks,2026-06-30,0.0,Nuclear Power Is the Only Real Answer to AI Data Center Demand and These 3 ETFs Cover the Trade at Three Risk Levels,24/7 Wall St.,2026-06-30,-0.382,Vistra (VST) Buys Cogentrix For $4 Billion And Locks In Meta And AWS Deals,Simply Wall St.,2026-06-29,0.0,,,,,,,,,,
