ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_usd_b,beta,pe_ratio,avg_volume_m,vol_1d,vol_1w,vol_1m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
SNDK,SanDisk Corporation,AI,memory,NASDAQ,1390.95,+3.02%,-16.91%,-38.83%,+405.36%,+3156%,205.985,,47.54,13.18,12404763,78296063,268507963,,7.59,buy,1.61,3.02,103.02,3.02,1030.2,30.2,10302.0,302.0,-16.91,83.09,-16.91,830.9,-169.1,8309.0,-1691.0,-38.83,61.17,-38.83,611.7,-388.3,6117.0,-3883.0,405.36,505.36,405.36,5053.6,4053.6,50536.0,40536.0,3156.0,3256.0,3156.0,32560.0,31560.0,325600.0,315600.0,AI capex to Pass $1 trillion by 2027: Strategist,Yahoo Finance Video,2026-07-20,0.0,"AMD, Micron, SK Hynix climb as semiconductor complex attempt recovery",Yahoo Finance,2026-07-20,0.0,Micron and Sandisk Shares Are Crashing. Is It Time to Buy the Dip?,Motley Fool,2026-07-20,0.296,,,,,,,,,,
WDC,Western Digital,AI,memory,NASDAQ,487.42,+2.50%,-12.26%,-33.47%,+159.87%,+594%,168.005,2.166,29.19,8.54,5261422,40773622,190288222,13.0,7.32,strong_buy,1.5,2.5,102.5,2.5,1025.0,25.0,10250.0,250.0,-12.26,87.74,-12.26,877.4,-122.6,8774.0,-1226.0,-33.47,66.53,-33.47,665.3,-334.7,6653.0,-3347.0,159.87,259.87,159.87,2598.7,1598.7,25987.0,15987.0,594.0,694.0,594.0,6940.0,5940.0,69400.0,59400.0,"Micron Jumps 5%, SanDisk Rises 6%, Western Digital Climbs 4% as Memory Stocks Rebound With Chips",24/7 Wall St.,2026-07-20,0.0,"The Memory Stock Sell-Off Created a ‘Strong Entry Point,’ Says Morgan Stanley. Investors Are Buying In.",Investopedia,2026-07-20,0.25,Broader Market Boosted by Chipmaker Strength,Barchart,2026-07-20,0.691,,,,,,,,,,
285A,Kioxia Holdings,AI,memory,TSE,320.8,-16.38%,-32.32%,-45.72%,+359.12%,+2073%,175.556,,51.55,36.98,41502000,225978200,937498800,,,buy,1.62,-16.38,83.62,-16.38,836.2,-163.8,8362.0,-1638.0,-32.32,67.68,-32.32,676.8,-323.2,6768.0,-3232.0,-45.72,54.28,-45.72,542.8,-457.2,5428.0,-4572.0,359.12,459.12,359.12,4591.2,3591.2,45912.0,35912.0,2073.0,2173.0,2073.0,21730.0,20730.0,217300.0,207300.0,Chip Stock Selloff Deepens in Asia as TSMC Fails to Impress,Bloomberg,2026-07-17,0.026,NVIDIA CEO Courts Japan Suppliers as $5.1 Trillion AI Push Expands,GuruFocus.com,2026-07-16,0.103,Nvidia’s Huang Courts Japanese Suppliers With Kanda Pork Skewers,Bloomberg,2026-07-16,0.0,,,,,,,,,,
MU,Micron Technology,AI,memory,NASDAQ,865.46,+2.54%,-7.64%,-28.54%,+174.54%,+650%,977.445,2.142,19.57,52.09,37344218,232649818,1039887818,6.0,2.81,strong_buy,1.42,2.54,102.54,2.54,1025.4,25.4,10254.0,254.0,-7.64,92.36,-7.64,923.6,-76.4,9236.0,-764.0,-28.54,71.46,-28.54,714.6,-285.4,7146.0,-2854.0,174.54,274.54,174.54,2745.4,1745.4,27454.0,17454.0,650.0,750.0,650.0,7500.0,6500.0,75000.0,65000.0,AI capex to Pass $1 trillion by 2027: Strategist,Yahoo Finance Video,2026-07-20,0.0,Chip stocks fight to rebound as semiconductors slip into bear market,Yahoo Finance Video,2026-07-20,-0.382,Micron and Sandisk Shares Are Crashing. Is It Time to Buy the Dip?,Motley Fool,2026-07-20,0.296,,,,,,,,,,
STX,Seagate Technology,AI,memory,NASDAQ,802.45,+1.96%,-6.76%,-26.60%,+179.76%,+426%,179.933,2.067,76.06,4.52,4786141,26517341,102487941,38.0,3.33,strong_buy,1.4,1.96,101.96,1.96,1019.6,19.6,10196.0,196.0,-6.76,93.24,-6.76,932.4,-67.6,9324.0,-676.0,-26.6,73.4,-26.6,734.0,-266.0,7340.0,-2660.0,179.76,279.76,179.76,2797.6,1797.6,27976.0,17976.0,426.0,526.0,426.0,5260.0,4260.0,52600.0,42600.0,"Nasdaq Loses Early Gains as Fears Persist Over Oil Prices, AI",The Wall Street Journal,2026-07-20,-0.402,Stocks Edge Lower to Start Week; Chip Stocks Rebound,The Wall Street Journal,2026-07-20,-0.296,"Top Analyst Reports for Johnson & Johnson, Lam Research & Seagate",Zacks,2026-07-20,0.202,,,,,,,,,,
MRVL,Marvell Technology,AI,memory,NASDAQ,194.94,+4.39%,-10.38%,-36.66%,+118.40%,+158%,174.968,2.197,66.99,42.57,24530203,136535603,639890203,13.0,4.56,strong_buy,1.42,4.39,104.39,4.39,1043.9,43.9,10439.0,439.0,-10.38,89.62,-10.38,896.2,-103.8,8962.0,-1038.0,-36.66,63.34,-36.66,633.4,-366.6,6334.0,-3666.0,118.4,218.4,118.4,2184.0,1184.0,21840.0,11840.0,158.0,258.0,158.0,2580.0,1580.0,25800.0,15800.0,"AMD, Micron, SK Hynix climb as semiconductor complex attempt recovery",Yahoo Finance,2026-07-20,0.0,"Stocks to Watch Recap: Alibaba, AMC, Domino’s, Paramount",The Wall Street Journal,2026-07-20,0.0,"Micron, Lumentum, Sweetgreen, AMC, Domino’s, and More Stocks That Explain Today’s Market",Barrons.com,2026-07-20,0.0,,,,,,,,,,
P,Everpure,AI,memory,NYSE,69.93,+2.76%,-7.21%,-9.23%,+1.33%,+22%,23.245,1.447,105.95,3.39,1827340,12797240,54874940,,4.47,buy,1.9,2.76,102.76,2.76,1027.6,27.6,10276.0,276.0,-7.21,92.79,-7.21,927.9,-72.1,9279.0,-721.0,-9.23,90.77,-9.23,907.7,-92.3,9077.0,-923.0,1.33,101.33,1.33,1013.3,13.3,10133.0,133.0,22.0,122.0,22.0,1220.0,220.0,12200.0,2200.0,VVX or P: Which Is the Better Value Stock Right Now?,Zacks,2026-07-20,0.649,All You Need to Know About Everpure (P) Rating Upgrade to Strong Buy,Zacks,2026-07-17,0.511,New Strong Buy Stocks for July 17th,Zacks,2026-07-17,0.511,,,,,,,,,,
RR.,Rolls-Royce Holdings,AI,nuclear-ops,LSE,18.23,-0.56%,-4.06%,-3.81%,+13.46%,+37%,1.509,1.203,19.68,29.19,31960246,91524063,481416525,70.0,,buy,1.6,-0.56,99.44,-0.56,994.4,-5.6,9944.0,-56.0,-4.06,95.94,-4.06,959.4,-40.6,9594.0,-406.0,-3.81,96.19,-3.81,961.9,-38.1,9619.0,-381.0,13.46,113.46,13.46,1134.6,134.6,11346.0,1346.0,37.0,137.0,37.0,1370.0,370.0,13700.0,3700.0,Quantinuum Just Struck a New Deal with Rolls-Royce. What That Means for QNT Stock Here.,Barchart,2026-07-16,-0.25,2 Quantum Stocks That Could Challenge IonQ’s Leadership,MarketBeat,2026-07-15,0.077,FTSE 100 Live: Stocks flat as Trump says US to be 'guardian of Hormuz strait',Proactive,2026-07-13,0.0,9,buy,0.6,"RR. offers a positive YTD of +14.09%, low P/E of 19.79, and a buy rating. Its small nuclear-ops niche and low beta of 1.203 provide stability, with news sentiment of 0.029.",YTD +14.09%; P/E 19.79; low beta 1.203; analyst buy,,,,,
CEG,Constellation Energy,AI,nuclear-ops,NASDAQ,253.5,+0.20%,-1.58%,-8.00%,-30.58%,-21%,90.525,1.121,22.02,3.69,2231237,12741837,67412637,68.0,3.8,buy,1.52,0.2,100.2,0.2,1002.0,2.0,10020.0,20.0,-1.58,98.42,-1.58,984.2,-15.8,9842.0,-158.0,-8.0,92.0,-8.0,920.0,-80.0,9200.0,-800.0,-30.58,69.42,-30.58,694.2,-305.8,6942.0,-3058.0,-21.0,79.0,-21.0,790.0,-210.0,7900.0,-2100.0,Constellation Invests in Blue Energy as Nuclear Demand From AI Data Centers Surges. Here's What CEG Investors Need to Know.,Motley Fool,2026-07-19,0.153,Bloom Energy vs. Constellation Energy: Which Industrials Stock Is a Better Buy in 2026?,Motley Fool,2026-07-19,0.727,"BlackRock CEO Larry Fink Warned of an AI Power Crunch—New York Just Halted Large Data Centers: CEG, VST, NEE in Focus",Benzinga,2026-07-18,-0.273,,,,,,,,,,
VST,Vistra Corp,AI,nuclear-ops,NYSE,157.99,+2.22%,-0.08%,-5.54%,-4.12%,-17%,53.272,1.409,26.42,4.8,2302239,24732439,82288839,59.0,5.46,strong_buy,1.4,2.22,102.22,2.22,1022.2,22.2,10222.0,222.0,-0.08,99.92,-0.08,999.2,-0.8,9992.0,-8.0,-5.54,94.46,-5.54,944.6,-55.4,9446.0,-554.0,-4.12,95.88,-4.12,958.8,-41.2,9588.0,-412.0,-17.0,83.0,-17.0,830.0,-170.0,8300.0,-1700.0,Utility ETFs Soar 8% YTD on AI Power Demand. Here’s Which One to Buy,24/7 Wall St.,2026-07-19,-0.128,"BlackRock CEO Larry Fink Warned of an AI Power Crunch—New York Just Halted Large Data Centers: CEG, VST, NEE in Focus",Benzinga,2026-07-18,-0.273,Can NRG's Expanding Generation Fleet Drive Long-Term Growth?,Zacks,2026-07-17,0.382,8,strong_buy,0.65,"VST carries a strong_buy rating, low P/E of 25.99, and positive news sentiment of 0.149. Although YTD is -5.66%, the 1D bounce of +2.94% and AI power demand narrative are encouraging.",strong_buy consensus; P/E 25.99; news sentiment 0.149; 1D +2.94%,,,,,
